Filename,Peak Nr.,Component,Master Peak,Ref. Name,Start[s],Rt[s],End[s],Width[s],Sample Dilution[%],Ampl. 44[mV],Ampl. 45[mV],Ampl. 46[mV],BGD 44[mV],BGD 45[mV],BGD 46[mV],Area All[Vs],Area 44[Vs],Area 45[Vs],Area 46[Vs],rArea All[mVs],rArea 44[mVs],rArea 45[mVs],rArea 46[mVs],R 45CO2/44CO2,rR 45CO2/44CO2,rd 45CO2/44CO2[per mil]vs. CO2 Lhyges,d 45CO2/44CO2[per mil]vs. VPDB VSMOW,DeltaDelta 45CO2/44CO2[per mil],R 46CO2/44CO2,rR 46CO2/44CO2,rd 46CO2/44CO2[per mil]vs. CO2 Lhyges,d 46CO2/44CO2[per mil]vs. VPDB VSMOW,DeltaDelta 46CO2/44CO2[per mil],R 13C/12C,d 13C/12C[per mil]vs. VPDB,AT% 13C/12C[%],R 18O/16O,d 18O/16O[per mil]vs. VSMOW,AT% 18O/16O[%],R 17O/16O,d 17O/16O
AW_S_2-1_-0000.dxf,1, - , - ,CO2 Lhyges,37.4,66.9,69.2,31.8,0.000,1288,1525,1752,1.0,1.0,0.9,37.587,36.998,0.438,0.151,131133,36998,43798,50337,0.0119328,1.1837997,0.084,-4.341, - ,0.0040195,1.3605302,0.007,-0.003, - ,0.0111282,-4.654,1.100569,0.0020052,0.007,0.200120,0.0004023,0.004
AW_S_2-1_-0000.dxf,2, - , - ,CO2 Lhyges,97.0,126.0,129.0,32.0,0.000,1275,1510,1735,1.3,1.4,1.4,37.348,36.762,0.435,0.150,130293,36762,43517,50013,0.0119322,1.1837357,0.030,-4.395, - ,0.0040193,1.3604530,-0.049,-0.060, - ,0.0111275,-4.710,1.100509,0.0020051,-0.050,0.200109,0.0004023,-0.026
AW_S_2-1_-0000.dxf,3*, - , - ,CO2 Lhyges,156.8,186.0,188.7,32.0,0.000,1276,1511,1737,1.4,1.6,1.5,37.357,36.771,0.435,0.150,130325,36771,43526,50028,0.0119318,1.1837008,0.000,-4.425, - ,0.0040195,1.3605202,0.000,-0.011, - ,0.0111272,-4.743,1.100472,0.0020052,-0.000,0.200119,0.0004023,-0.000
AW_S_2-1_-0000.dxf,4, - , - ,CO2 Lhyges,216.5,246.0,248.3,31.8,0.000,1276,1510,1736,1.5,1.6,1.5,37.298,36.713,0.435,0.150,130120,36713,43458,49949,0.0119318,1.1836998,-0.001,-4.425, - ,0.0040195,1.3605126,-0.006,-0.016, - ,0.0111272,-4.744,1.100471,0.0020052,-0.006,0.200118,0.0004023,-0.003
AW_S_2-1_-0000.dxf,6,S-Metolachlor, - ,CO2 Lhyges,2229.6,2243.2,2251.3,21.7,0.000,685,783,907,108.5,125.4,143.3,5.427,5.344,0.062,0.021,18586,5344,6154,7087,0.0116069,1.1514658,-27.232,-31.536, - ,0.0039180,1.3261713,-25.247,-25.257, - ,0.0108128,-32.864,1.069711,0.0019546,-25.212,0.195083,0.0003971,-13.090
AW_S_2-1_-0000.dxf,10+,S-Metolachlor,6,CO2 Lhyges,2229.6,2243.2,2251.3,21.7, - ,694,794,919,-6.3,-5.9,-13.2,5.729,5.557,0.064,0.022,19326,5557,6401,7369,0.0116105,1.1518255,-26.929,-31.234,0.312,0.0039176,1.3260251,-25.354,-25.365,-0.110,0.0108164,-32.536,1.070070,0.0019544,-25.320,0.195062,0.0003970,-13.146
AW_S_2-1_-0000.dxf,11+,S-Metolachlor,10,CO2 Lhyges,2229.6,2243.2,2251.3,21.7, - ,689,788,912,165.5,187.5,213.8,5.600,5.432,0.063,0.022,18893,5432,6256,7205,0.0116104,1.1518186,-26.934,-31.240,-0.006,0.0039187,1.3264126,-25.070,-25.080,0.292,0.0108163,-32.553,1.070052,0.0019550,-25.035,0.195119,0.0003971,-12.997
AW_S_2-1_-0000.dxf,8, - , - ,CO2 Lhyges,2764.4,2792.9,2796.2,31.8,0.000,1274,1508,1733,1.0,1.0,0.8,37.112,36.531,0.432,0.149,129476,36531,43246,49700,0.0119332,1.1838339,0.112,-4.313, - ,0.0040194,1.3604893,-0.023,-0.033, - ,0.0111285,-4.622,1.100604,0.0020052,-0.023,0.200114,0.0004023,-0.012
AW_S_2-1_-0000.dxf,9, - , - ,CO2 Lhyges,2824.2,2853.7,2856.0,31.8,0.000,1270,1504,1728,1.3,1.4,1.3,37.204,36.621,0.433,0.149,129792,36621,43347,49824,0.0119315,1.1836652,-0.030,-4.455, - ,0.0040195,1.3605208,0.000,-0.010, - ,0.0111268,-4.775,1.100437,0.0020052,0.000,0.200119,0.0004023,0.000
