Filename,Peak Nr.,Component,Master Peak,Ref. Name,Start[s],Rt[s],End[s],Width[s],Sample Dilution[%],Ampl. 44[mV],Ampl. 45[mV],Ampl. 46[mV],BGD 44[mV],BGD 45[mV],BGD 46[mV],Area All[Vs],Area 44[Vs],Area 45[Vs],Area 46[Vs],rArea All[mVs],rArea 44[mVs],rArea 45[mVs],rArea 46[mVs],R 45CO2/44CO2,rR 45CO2/44CO2,rd 45CO2/44CO2[per mil]vs. CO2 Lhyges,d 45CO2/44CO2[per mil]vs. VPDB VSMOW,DeltaDelta 45CO2/44CO2[per mil],R 46CO2/44CO2,rR 46CO2/44CO2,rd 46CO2/44CO2[per mil]vs. CO2 Lhyges,d 46CO2/44CO2[per mil]vs. VPDB VSMOW,DeltaDelta 46CO2/44CO2[per mil],R 13C/12C,d 13C/12C[per mil]vs. VPDB,AT% 13C/12C[%],R 18O/16O,d 18O/16O[per mil]vs. VSMOW,AT% 18O/16O[%],R 17O/16O,d 17O/16O
AW_T_8-2_-0000.dxf,1, - , - ,CO2 Lhyges,37.4,66.9,69.2,31.8,0.000,1249,1478,1698,1.0,1.1,0.9,36.436,35.866,0.424,0.146,127082,35866,42441,48776,0.0119334,1.1833419,0.135,-4.290, - ,0.0040199,1.3599563,0.087,0.077, - ,0.0111287,-4.602,1.100626,0.0020054,0.087,0.200136,0.0004023,0.045
AW_T_8-2_-0000.dxf,2, - , - ,CO2 Lhyges,97.2,126.7,129.0,31.8,0.000,1240,1467,1686,1.3,1.4,1.3,36.257,35.689,0.422,0.146,126448,35689,42227,48531,0.0119319,1.1831866,0.004,-4.421, - ,0.0040195,1.3598232,-0.011,-0.021, - ,0.0111272,-4.739,1.100477,0.0020052,-0.011,0.200117,0.0004023,-0.006
AW_T_8-2_-0000.dxf,3*, - , - ,CO2 Lhyges,157.0,186.2,188.7,31.8,0.000,1240,1468,1687,1.4,1.5,1.4,36.273,35.705,0.422,0.146,126503,35705,42245,48553,0.0119318,1.1831824,0.000,-4.425, - ,0.0040195,1.3598379,0.000,-0.011, - ,0.0111272,-4.743,1.100472,0.0020052,-0.000,0.200119,0.0004023,-0.000
AW_T_8-2_-0000.dxf,4, - , - ,CO2 Lhyges,216.7,245.8,248.5,31.8,0.000,1241,1468,1687,1.4,1.5,1.5,36.278,35.710,0.423,0.146,126524,35710,42251,48563,0.0119318,1.1831847,0.002,-4.423, - ,0.0040198,1.3599202,0.061,0.050, - ,0.0111272,-4.743,1.100472,0.0020053,0.061,0.200131,0.0004023,0.031
AW_T_8-2_-0000.dxf,10+,S-Metolachlor,9,CO2 Lhyges,2249.9,2254.5,2261.4,11.5, - ,126,146,168,182.5,194.8,239.5,0.893,0.866,0.010,0.003,3022,866,999,1157,0.0116420,1.1544411,-24.291,-28.609,-1.553,0.0039498,1.3362365,-17.356,-17.366,2.696,0.0108446,-30.022,1.072821,0.0019705,-17.318,0.196660,0.0003987,-8.974
AW_T_8-2_-0000.dxf,11+,S-Metolachlor,10,CO2 Lhyges,2249.9,2254.5,2261.4,11.5, - ,127,147,169,141.7,154.1,175.6,0.905,0.878,0.010,0.004,3061,878,1014,1170,0.0116497,1.1552045,-23.646,-27.966,0.661,0.0039383,1.3323643,-20.204,-20.214,-2.898,0.0108534,-29.226,1.073691,0.0019648,-20.171,0.196090,0.0003981,-10.460
AW_T_8-2_-0000.dxf,7, - , - ,CO2 Lhyges,2764.2,2793.7,2796.0,31.8,0.000,1244,1472,1691,1.0,1.0,0.9,36.263,35.695,0.422,0.146,126480,35695,42243,48542,0.0119347,1.1834659,0.240,-4.186, - ,0.0040197,1.3599150,0.057,0.046, - ,0.0111300,-4.489,1.100749,0.0020053,0.056,0.200130,0.0004023,0.029
AW_T_8-2_-0000.dxf,8, - , - ,CO2 Lhyges,2823.8,2853.1,2855.8,32.0,0.000,1246,1474,1695,1.3,1.4,1.3,36.432,35.861,0.424,0.146,127063,35861,42435,48766,0.0119331,1.1833074,0.106,-4.319, - ,0.0040195,1.3598401,0.002,-0.009, - ,0.0111284,-4.630,1.100595,0.0020052,0.001,0.200119,0.0004023,0.001
