Filename,Peak Nr.,Component,Master Peak,Ref. Name,Start[s],Rt[s],End[s],Width[s],Sample Dilution[%],Ampl. 44[mV],Ampl. 45[mV],Ampl. 46[mV],BGD 44[mV],BGD 45[mV],BGD 46[mV],Area All[Vs],Area 44[Vs],Area 45[Vs],Area 46[Vs],rArea All[mVs],rArea 44[mVs],rArea 45[mVs],rArea 46[mVs],R 45CO2/44CO2,rR 45CO2/44CO2,rd 45CO2/44CO2[per mil]vs. CO2 Lhyges,d 45CO2/44CO2[per mil]vs. VPDB VSMOW,DeltaDelta 45CO2/44CO2[per mil],R 46CO2/44CO2,rR 46CO2/44CO2,rd 46CO2/44CO2[per mil]vs. CO2 Lhyges,d 46CO2/44CO2[per mil]vs. VPDB VSMOW,DeltaDelta 46CO2/44CO2[per mil],R 13C/12C,d 13C/12C[per mil]vs. VPDB,AT% 13C/12C[%],R 18O/16O,d 18O/16O[per mil]vs. VSMOW,AT% 18O/16O[%],R 17O/16O,d 17O/16O
AW_T_5-3_-0000.dxf,1, - , - ,CO2 Lhyges,37.4,66.9,69.2,31.8,0.000,1283,1519,1746,1.0,1.1,0.9,37.469,36.882,0.437,0.151,130720,36882,43656,50182,0.0119325,1.1836891,0.061,-4.364, - ,0.0040194,1.3606157,-0.020,-0.030, - ,0.0111279,-4.678,1.100544,0.0020052,-0.020,0.200115,0.0004023,-0.010
AW_T_5-3_-0000.dxf,2, - , - ,CO2 Lhyges,97.2,126.7,129.0,31.8,0.000,1268,1501,1725,1.4,1.5,1.4,37.124,36.542,0.433,0.149,129513,36542,43250,49721,0.0119314,1.1835759,-0.035,-4.459, - ,0.0040195,1.3606479,0.004,-0.007, - ,0.0111268,-4.781,1.100431,0.0020052,0.004,0.200120,0.0004023,0.002
AW_T_5-3_-0000.dxf,3*, - , - ,CO2 Lhyges,156.8,185.0,188.7,32.0,0.000,1272,1506,1731,1.4,1.6,1.5,37.243,36.659,0.434,0.150,129930,36659,43391,49880,0.0119318,1.1836174,0.000,-4.425, - ,0.0040195,1.3606424,0.000,-0.011, - ,0.0111272,-4.743,1.100472,0.0020052,-0.000,0.200119,0.0004023,-0.000
AW_T_5-3_-0000.dxf,4, - , - ,CO2 Lhyges,216.5,245.8,248.3,31.8,0.000,1269,1502,1727,1.5,1.6,1.5,37.129,36.547,0.433,0.149,129531,36547,43255,49729,0.0119312,1.1835523,-0.055,-4.479, - ,0.0040197,1.3606910,0.036,0.025, - ,0.0111265,-4.803,1.100406,0.0020053,0.036,0.200126,0.0004023,0.019
AW_T_5-3_-0000.dxf,9+,S-Metolachlor,8,CO2 Lhyges,2234.0,2240.7,2248.2,14.2, - ,243,280,322,334.7,383.1,437.1,2.104,2.040,0.024,0.008,7097,2040,2350,2706,0.0116105,1.1517404,-26.932,-31.237,-1.906,0.0039183,1.3263815,-25.180,-25.190,0.310,0.0108163,-32.546,1.070059,0.0019548,-25.145,0.195096,0.0003971,-13.055
AW_T_5-3_-0000.dxf,10+,S-Metolachlor,9,CO2 Lhyges,2234.0,2240.7,2248.2,14.2, - ,241,277,319,223.7,255.3,296.6,2.065,2.003,0.023,0.008,6968,2003,2310,2656,0.0116221,1.1528910,-25.960,-30.269,0.999,0.0039160,1.3256103,-25.747,-25.757,-0.581,0.0108282,-31.487,1.071218,0.0019536,-25.715,0.194983,0.0003970,-13.353
AW_T_5-3_-0000.dxf,6, - , - ,CO2 Lhyges,2764.0,2793.5,2795.8,31.8,0.000,1279,1513,1740,1.0,1.0,0.8,37.220,36.637,0.434,0.150,129852,36637,43368,49847,0.0119329,1.1837259,0.092,-4.333, - ,0.0040193,1.3605715,-0.052,-0.063, - ,0.0111283,-4.643,1.100581,0.0020051,-0.052,0.200108,0.0004023,-0.027
AW_T_5-3_-0000.dxf,7, - , - ,CO2 Lhyges,2823.8,2853.3,2855.6,31.8,0.000,1282,1517,1744,1.3,1.4,1.3,37.482,36.894,0.437,0.151,130759,36894,43670,50195,0.0119321,1.1836428,0.021,-4.403, - ,0.0040191,1.3605022,-0.103,-0.114, - ,0.0111275,-4.716,1.100501,0.0020050,-0.103,0.200098,0.0004023,-0.053
