Filename,Peak Nr.,Component,Master Peak,Ref. Name,Start[s],Rt[s],End[s],Width[s],Sample Dilution[%],Ampl. 44[mV],Ampl. 45[mV],Ampl. 46[mV],BGD 44[mV],BGD 45[mV],BGD 46[mV],Area All[Vs],Area 44[Vs],Area 45[Vs],Area 46[Vs],rArea All[mVs],rArea 44[mVs],rArea 45[mVs],rArea 46[mVs],R 45CO2/44CO2,rR 45CO2/44CO2,rd 45CO2/44CO2[per mil]vs. CO2 Lhyges,d 45CO2/44CO2[per mil]vs. VPDB VSMOW,DeltaDelta 45CO2/44CO2[per mil],R 46CO2/44CO2,rR 46CO2/44CO2,rd 46CO2/44CO2[per mil]vs. CO2 Lhyges,d 46CO2/44CO2[per mil]vs. VPDB VSMOW,DeltaDelta 46CO2/44CO2[per mil],R 13C/12C,d 13C/12C[per mil]vs. VPDB,AT% 13C/12C[%],R 18O/16O,d 18O/16O[per mil]vs. VSMOW,AT% 18O/16O[%],R 17O/16O,d 17O/16O
AW_N_3-5_-0000.dxf,1, - , - ,CO2 Lhyges,37.4,66.9,69.2,31.8,0.000,1286,1523,1750,1.0,1.1,0.9,37.608,37.019,0.438,0.151,131212,37019,43822,50371,0.0119330,1.1837727,0.102,-4.323, - ,0.0040193,1.3607082,-0.054,-0.065, - ,0.0111284,-4.632,1.100594,0.0020051,-0.055,0.200108,0.0004023,-0.028
AW_N_3-5_-0000.dxf,2, - , - ,CO2 Lhyges,97.0,126.4,129.0,32.0,0.000,1279,1514,1740,1.3,1.5,1.4,37.431,36.844,0.436,0.150,130590,36844,43611,50135,0.0119319,1.1836583,0.006,-4.419, - ,0.0040193,1.3607157,-0.049,-0.060, - ,0.0111273,-4.735,1.100481,0.0020051,-0.049,0.200109,0.0004023,-0.025
AW_N_3-5_-0000.dxf,3*, - , - ,CO2 Lhyges,156.8,186.2,188.7,32.0,0.000,1274,1508,1734,1.4,1.6,1.4,37.312,36.727,0.435,0.150,130178,36727,43472,49978,0.0119318,1.1836516,0.000,-4.425, - ,0.0040195,1.3607822,0.000,-0.011, - ,0.0111272,-4.743,1.100472,0.0020052,-0.000,0.200119,0.0004023,-0.000
AW_N_3-5_-0000.dxf,4, - , - ,CO2 Lhyges,216.5,246.0,248.3,31.8,0.000,1278,1512,1739,1.5,1.6,1.6,37.309,36.724,0.435,0.150,130164,36724,43470,49970,0.0119321,1.1836763,0.021,-4.404, - ,0.0040192,1.3606801,-0.075,-0.086, - ,0.0111275,-4.718,1.100500,0.0020050,-0.075,0.200104,0.0004023,-0.039
AW_N_3-5_-0000.dxf,5,S-Metolachlor, - ,CO2 Lhyges,2229.0,2240.9,2249.5,20.5,0.000,405,465,536,93.8,108.3,124.0,3.035,2.989,0.034,0.012,10401,2989,3446,3967,0.0116201,1.1527278,-26.126,-30.435, - ,0.0039201,1.3271270,-24.732,-24.743, - ,0.0108258,-31.702,1.070982,0.0019557,-24.699,0.195186,0.0003972,-12.822
AW_N_3-5_-0000.dxf,8+,S-Metolachlor,5,CO2 Lhyges,2229.0,2240.9,2249.5,20.5, - ,415,477,550,43.9,55.8,53.6,3.302,3.202,0.037,0.013,11138,3202,3688,4248,0.0116101,1.1517407,-26.960,-31.265,-0.856,0.0039180,1.3264309,-25.244,-25.254,-0.525,0.0108160,-32.573,1.070029,0.0019547,-25.209,0.195084,0.0003971,-13.088
AW_N_3-5_-0000.dxf,9+,S-Metolachlor,8,CO2 Lhyges,2229.0,2240.9,2249.5,20.5, - ,416,478,551,12.5,13.9,13.5,3.325,3.225,0.037,0.013,11222,3225,3716,4281,0.0116172,1.1524360,-26.372,-30.680,0.604,0.0039212,1.3274835,-24.470,-24.481,0.794,0.0108227,-31.975,1.070683,0.0019562,-24.436,0.195238,0.0003972,-12.685
AW_N_3-5_-0000.dxf,6, - , - ,CO2 Lhyges,2764.0,2793.5,2795.8,31.8,0.000,1280,1514,1741,1.0,1.0,0.9,37.327,36.742,0.435,0.150,130232,36742,43496,49994,0.0119335,1.1838166,0.139,-4.286, - ,0.0040192,1.3606698,-0.083,-0.093, - ,0.0111289,-4.591,1.100638,0.0020050,-0.083,0.200102,0.0004023,-0.043
AW_N_3-5_-0000.dxf,7, - , - ,CO2 Lhyges,2823.6,2853.1,2855.6,32.0,0.000,1285,1521,1748,1.3,1.4,1.3,37.537,36.949,0.437,0.151,130955,36949,43734,50272,0.0119317,1.1836387,-0.011,-4.435, - ,0.0040190,1.3605959,-0.137,-0.148, - ,0.0111271,-4.750,1.100465,0.0020049,-0.137,0.200091,0.0004023,-0.071
