Filename,Peak Nr.,Component,Master Peak,Ref. Name,Start[s],Rt[s],End[s],Width[s],Sample Dilution[%],Ampl. 44[mV],Ampl. 45[mV],Ampl. 46[mV],BGD 44[mV],BGD 45[mV],BGD 46[mV],Area All[Vs],Area 44[Vs],Area 45[Vs],Area 46[Vs],rArea All[mVs],rArea 44[mVs],rArea 45[mVs],rArea 46[mVs],R 45CO2/44CO2,rR 45CO2/44CO2,rd 45CO2/44CO2[per mil]vs. CO2 Lhyges,d 45CO2/44CO2[per mil]vs. VPDB VSMOW,DeltaDelta 45CO2/44CO2[per mil],R 46CO2/44CO2,rR 46CO2/44CO2,rd 46CO2/44CO2[per mil]vs. CO2 Lhyges,d 46CO2/44CO2[per mil]vs. VPDB VSMOW,DeltaDelta 46CO2/44CO2[per mil],R 13C/12C,d 13C/12C[per mil]vs. VPDB,AT% 13C/12C[%],R 18O/16O,d 18O/16O[per mil]vs. VSMOW,AT% 18O/16O[%],R 17O/16O,d 17O/16O
AO_W6_3-2_-0000.dxf,1, - , - ,CO2 Lhyges,37.2,66.7,69.4,32.2,0.000,1453,1707,1954,4.2,-0.6,0.6,42.387,41.728,0.490,0.168,146903,41728,49037,56138,0.0119454,1.1751738,0.163,-3.289, - ,0.0040195,1.3453313,-0.001,-0.010, - ,0.0111408,-3.526,1.101803,0.0020052,-0.002,0.200118,0.0004023,-0.001
AO_W6_3-2_-0000.dxf,2, - , - ,CO2 Lhyges,97.0,126.2,129.2,32.2,0.000,1444,1697,1942,4.9,0.2,1.6,42.190,41.535,0.488,0.168,146214,41535,48804,55876,0.0119439,1.1750200,0.032,-3.419, - ,0.0040194,1.3452779,-0.041,-0.049, - ,0.0111392,-3.664,1.101652,0.0020051,-0.041,0.200110,0.0004023,-0.021
AO_W6_3-2_-0000.dxf,3*, - , - ,CO2 Lhyges,156.8,186.2,188.9,32.2,0.000,1447,1700,1947,5.1,0.4,1.8,42.302,41.645,0.489,0.168,146602,41645,48932,56026,0.0119435,1.1749820,0.000,-3.452, - ,0.0040195,1.3453333,0.000,-0.008, - ,0.0111388,-3.700,1.101613,0.0020052,-0.000,0.200119,0.0004023,-0.000
AO_W6_3-2_-0000.dxf,4, - , - ,CO2 Lhyges,216.5,246.0,248.7,32.2,0.000,1445,1697,1944,5.1,0.5,1.9,42.199,41.543,0.488,0.168,146243,41543,48810,55890,0.0119430,1.1749332,-0.041,-3.493, - ,0.0040196,1.3453656,0.024,0.016, - ,0.0111383,-3.745,1.101563,0.0020052,0.024,0.200124,0.0004023,0.012
AO_W6_3-2_-0000.dxf,5, - , - ,CO2 Lhyges,1737.2,1917.4,1917.4,180.2,0.000,607,709,803,4.1,-0.7,0.3,37.268,36.701,0.421,0.146,127564,36701,42074,48790,0.0116527,1.1463781,-24.344,-27.712, - ,0.0039718,1.3293671,-11.868,-11.876, - ,0.0108530,-29.266,1.073648,0.0019815,-11.824,0.197757,0.0003999,-6.119
AO_W6_3-2_-0000.dxf,6, - , - ,CO2 Lhyges,1917.6,1919.0,1942.2,24.7,0.000,405,468,542,238.9,271.6,310.1,4.108,4.046,0.046,0.016,14114,4046,4604,5464,0.0115669,1.1379350,-31.530,-34.873, - ,0.0040346,1.3503861,3.756,3.747, - ,0.0107607,-37.525,1.064611,0.0020129,3.836,0.200885,0.0004031,1.977
AO_W6_3-2_-0000.dxf,7, - , - ,CO2 Lhyges,2021.2,2028.3,2034.0,12.7,0.000,21,24,28,196.5,220.3,256.9,0.164,0.161,0.002,0.001,560,161,185,214,0.0116476,1.1458718,-24.775,-28.141, - ,0.0039582,1.3248153,-15.251,-15.259, - ,0.0108493,-29.600,1.073283,0.0019747,-15.210,0.197081,0.0003992,-7.877
AO_W6_3-2_-0000.dxf,8, - , - ,CO2 Lhyges,2037.8,2048.2,2052.8,15.0,0.000,33,37,44,200.5,224.9,262.0,0.262,0.258,0.003,0.001,897,258,294,346,0.0115956,1.1407611,-29.125,-32.476, - ,0.0040089,1.3417610,-2.655,-2.664, - ,0.0107921,-34.717,1.067683,0.0020000,-2.589,0.199602,0.0004018,-1.337
AO_W6_3-2_-0000.dxf,9, - , - ,CO2 Lhyges,2068.7,2074.3,2079.3,10.7,0.000,20,23,27,191.9,215.0,250.7,0.136,0.134,0.002,0.001,468,134,154,179,0.0116572,1.1468142,-23.973,-27.342, - ,0.0039962,1.3375238,-5.805,-5.813, - ,0.0108549,-29.096,1.073834,0.0019937,-5.754,0.198969,0.0004011,-2.973
AO_W6_3-2_-0000.dxf,10, - , - ,CO2 Lhyges,2089.2,2097.9,2101.9,12.7,0.000,21,24,28,197.3,221.2,258.0,0.158,0.156,0.002,0.001,542,156,179,207,0.0117096,1.1519719,-19.583,-22.967, - ,0.0039753,1.3305349,-11.000,-11.008, - ,0.0109095,-24.212,1.079177,0.0019832,-10.966,0.197929,0.0004000,-5.674
AO_W6_3-2_-0000.dxf,11, - , - ,CO2 Lhyges,2102.7,2115.3,2125.1,22.4,0.000,311,355,414,205.4,230.5,268.8,2.340,2.304,0.026,0.009,8014,2304,2638,3072,0.0116371,1.1448380,-25.655,-29.018, - ,0.0039835,1.3332612,-8.973,-8.982, - ,0.0108361,-30.774,1.071997,0.0019873,-8.923,0.198337,0.0004005,-4.614
AO_W6_3-2_-0000.dxf,12, - , - ,CO2 Lhyges,2314.0,2321.6,2332.6,18.6,0.000,180,207,240,148.1,164.9,192.6,1.251,1.232,0.014,0.005,4290,1232,1414,1644,0.0116675,1.1478304,-23.108,-26.480, - ,0.0039852,1.3338375,-8.545,-8.553, - ,0.0108664,-28.069,1.074957,0.0019882,-8.500,0.198421,0.0004006,-4.395
