Filename,Peak Nr.,Component,Master Peak,Ref. Name,Start[s],Rt[s],End[s],Width[s],Sample Dilution[%],Ampl. 44[mV],Ampl. 45[mV],Ampl. 46[mV],BGD 44[mV],BGD 45[mV],BGD 46[mV],Area All[Vs],Area 44[Vs],Area 45[Vs],Area 46[Vs],rArea All[mVs],rArea 44[mVs],rArea 45[mVs],rArea 46[mVs],R 45CO2/44CO2,rR 45CO2/44CO2,rd 45CO2/44CO2[per mil]vs. CO2 Lhyges,d 45CO2/44CO2[per mil]vs. VPDB VSMOW,DeltaDelta 45CO2/44CO2[per mil],R 46CO2/44CO2,rR 46CO2/44CO2,rd 46CO2/44CO2[per mil]vs. CO2 Lhyges,d 46CO2/44CO2[per mil]vs. VPDB VSMOW,DeltaDelta 46CO2/44CO2[per mil],R 13C/12C,d 13C/12C[per mil]vs. VPDB,AT% 13C/12C[%],R 18O/16O,d 18O/16O[per mil]vs. VSMOW,AT% 18O/16O[%],R 17O/16O,d 17O/16O
AO_W6_4-1_-0003.dxf,1, - , - ,CO2 Lhyges,37.2,66.7,69.2,32.0,0.000,1313,1556,1785,0.6,0.5,0.2,38.145,37.547,0.445,0.153,133108,37547,44505,51057,0.0119349,1.1853332,0.262,-4.164, - ,0.0040197,1.3598202,0.051,0.040, - ,0.0111303,-4.466,1.100775,0.0020053,0.050,0.200129,0.0004023,0.026
AO_W6_4-1_-0003.dxf,2, - , - ,CO2 Lhyges,97.0,126.2,129.0,32.0,0.000,1301,1542,1769,1.1,1.2,0.9,38.033,37.436,0.444,0.153,132701,37436,44364,50901,0.0119321,1.1850506,0.023,-4.402, - ,0.0040193,1.3596829,-0.050,-0.061, - ,0.0111275,-4.717,1.100501,0.0020051,-0.050,0.200109,0.0004023,-0.026
AO_W6_4-1_-0003.dxf,3*, - , - ,CO2 Lhyges,156.8,186.2,188.7,32.0,0.000,1305,1546,1774,1.2,1.3,1.1,38.066,37.470,0.444,0.153,132821,37470,44402,50949,0.0119318,1.1850233,0.000,-4.425, - ,0.0040195,1.3597509,0.000,-0.011, - ,0.0111272,-4.743,1.100472,0.0020052,-0.000,0.200119,0.0004023,-0.000
AO_W6_4-1_-0003.dxf,4, - , - ,CO2 Lhyges,216.3,245.8,248.3,32.0,0.000,1306,1547,1775,1.3,1.4,1.2,38.102,37.505,0.444,0.153,132942,37505,44443,50994,0.0119315,1.1849904,-0.028,-4.452, - ,0.0040192,1.3596596,-0.067,-0.078, - ,0.0111269,-4.770,1.100442,0.0020051,-0.067,0.200105,0.0004023,-0.035
AO_W6_4-1_-0003.dxf,6,S-Metolachlor, - ,CO2 Lhyges,2227.5,2255.1,2276.4,48.9,0.000,7500,8520,10012,420.5,485.6,558.1,108.259,106.600,1.232,0.426,371951,106600,123218,142133,0.0116385,1.1558880,-24.586,-28.902, - ,0.0039414,1.3333288,-19.432,-19.442, - ,0.0108419,-30.258,1.072562,0.0019663,-19.396,0.196245,0.0003983,-10.056
AO_W6_4-1_-0003.dxf,8, - , - ,CO2 Lhyges,2763.8,2793.3,2795.6,31.8,0.000,1313,1557,1785,0.7,0.6,0.3,38.110,37.512,0.445,0.153,132982,37512,44462,51008,0.0119344,1.1852772,0.214,-4.211, - ,0.0040196,1.3597770,0.019,0.009, - ,0.0111297,-4.515,1.100721,0.0020052,0.019,0.200122,0.0004023,0.010
AO_W6_4-1_-0003.dxf,9, - , - ,CO2 Lhyges,2823.6,2852.9,2855.4,31.8,0.000,1316,1559,1789,1.1,1.1,0.9,38.365,37.763,0.448,0.154,133865,37763,44753,51349,0.0119324,1.1850801,0.048,-4.377, - ,0.0040195,1.3597556,0.003,-0.007, - ,0.0111277,-4.692,1.100528,0.0020052,0.003,0.200119,0.0004023,0.002
