Filename,Peak Nr.,Component,Master Peak,Ref. Name,Start[s],Rt[s],End[s],Width[s],Sample Dilution[%],Ampl. 44[mV],Ampl. 45[mV],Ampl. 46[mV],BGD 44[mV],BGD 45[mV],BGD 46[mV],Area All[Vs],Area 44[Vs],Area 45[Vs],Area 46[Vs],rArea All[mVs],rArea 44[mVs],rArea 45[mVs],rArea 46[mVs],R 45CO2/44CO2,rR 45CO2/44CO2,rd 45CO2/44CO2[per mil]vs. CO2 Lhyges,d 45CO2/44CO2[per mil]vs. VPDB VSMOW,DeltaDelta 45CO2/44CO2[per mil],R 46CO2/44CO2,rR 46CO2/44CO2,rd 46CO2/44CO2[per mil]vs. CO2 Lhyges,d 46CO2/44CO2[per mil]vs. VPDB VSMOW,DeltaDelta 46CO2/44CO2[per mil],R 13C/12C,d 13C/12C[per mil]vs. VPDB,AT% 13C/12C[%],R 18O/16O,d 18O/16O[per mil]vs. VSMOW,AT% 18O/16O[%],R 17O/16O,d 17O/16O
AO_W9_1-2_-0002.dxf,1, - , - ,CO2 Lhyges,37.4,66.7,69.2,31.8,0.000,1286,1523,1750,1.0,1.1,1.0,37.626,37.036,0.439,0.151,131304,37036,43857,50411,0.0119343,1.1841644,0.209,-4.216, - ,0.0040202,1.3611215,0.175,0.164, - ,0.0111296,-4.526,1.100709,0.0020055,0.174,0.200154,0.0004024,0.090
AO_W9_1-2_-0002.dxf,2, - , - ,CO2 Lhyges,97.0,126.7,129.0,32.0,0.000,1278,1513,1739,1.3,1.4,1.4,37.418,36.831,0.436,0.150,130566,36831,43608,50127,0.0119325,1.1839880,0.060,-4.365, - ,0.0040198,1.3609876,0.076,0.066, - ,0.0111279,-4.682,1.100539,0.0020054,0.076,0.200134,0.0004023,0.039
AO_W9_1-2_-0002.dxf,3*, - , - ,CO2 Lhyges,156.8,185.8,188.7,32.0,0.000,1274,1508,1733,1.4,1.5,1.5,37.297,36.713,0.435,0.150,130140,36713,43465,49962,0.0119318,1.1839167,0.000,-4.425, - ,0.0040195,1.3608839,0.000,-0.011, - ,0.0111272,-4.743,1.100472,0.0020052,-0.000,0.200119,0.0004023,-0.000
AO_W9_1-2_-0002.dxf,4, - , - ,CO2 Lhyges,216.5,246.0,248.3,31.8,0.000,1276,1511,1736,1.4,1.6,1.5,37.309,36.724,0.435,0.150,130182,36724,43478,49980,0.0119316,1.1838966,-0.017,-4.441, - ,0.0040197,1.3609554,0.053,0.042, - ,0.0111269,-4.763,1.100450,0.0020053,0.053,0.200129,0.0004023,0.027
AO_W9_1-2_-0002.dxf,13+,S-Metolachlor,7,CO2 Lhyges,2246.5,2251.3,2262.8,16.3, - ,259,303,343,-436.7,-501.0,-579.5,2.090,2.027,0.023,0.008,7058,2027,2341,2690,0.0116437,1.1553235,-24.151,-28.469,1.264,0.0039213,1.3276229,-24.441,-24.451,-2.767,0.0108492,-29.606,1.073276,0.0019562,-24.412,0.195243,0.0003972,-12.672
AO_W9_1-2_-0002.dxf,17+,S-Metolachlor,7,CO2 Lhyges,2246.5,2251.3,2262.8,16.3, - ,258,303,343,-441.3,-508.2,-586.7,2.088,2.025,0.023,0.008,7051,2025,2339,2688,0.0116401,1.1549729,-24.447,-28.764,0.960,0.0039207,1.3274352,-24.579,-24.589,-2.908,0.0108457,-29.917,1.072936,0.0019560,-24.549,0.195216,0.0003972,-12.744
AO_W9_1-2_-0002.dxf,7, - , - ,CO2 Lhyges,2246.5,2251.3,2262.8,16.3,0.000,247,290,329,133.3,154.2,176.4,1.888,1.860,0.021,0.007,6481,1860,2146,2476,0.0116290,1.1538650,-25.383,-29.696, - ,0.0039322,1.3313067,-21.734,-21.744, - ,0.0108334,-31.023,1.071726,0.0019617,-21.699,0.195785,0.0003978,-11.256
AO_W9_1-2_-0002.dxf,11, - , - ,CO2 Lhyges,2764.2,2793.5,2795.8,31.6,0.000,1282,1519,1745,1.0,1.0,0.9,37.356,36.770,0.435,0.150,130356,36770,43541,50045,0.0119339,1.1841211,0.173,-4.253, - ,0.0040199,1.3610025,0.087,0.077, - ,0.0111292,-4.562,1.100670,0.0020054,0.087,0.200136,0.0004023,0.045
AO_W9_1-2_-0002.dxf,12, - , - ,CO2 Lhyges,2823.8,2849.7,2855.6,31.8,0.000,1282,1518,1745,1.3,1.4,1.3,37.559,36.970,0.438,0.151,131051,36970,43768,50312,0.0119316,1.1838926,-0.020,-4.445, - ,0.0040196,1.3609039,0.015,0.004, - ,0.0111269,-4.765,1.100448,0.0020052,0.015,0.200122,0.0004023,0.008
