Filename,Peak Nr.,Component,Master Peak,Ref. Name,Start[s],Rt[s],End[s],Width[s],Sample Dilution[%],Ampl. 44[mV],Ampl. 45[mV],Ampl. 46[mV],BGD 44[mV],BGD 45[mV],BGD 46[mV],Area All[Vs],Area 44[Vs],Area 45[Vs],Area 46[Vs],rArea All[mVs],rArea 44[mVs],rArea 45[mVs],rArea 46[mVs],R 45CO2/44CO2,rR 45CO2/44CO2,rd 45CO2/44CO2[per mil]vs. CO2 Lhyges,d 45CO2/44CO2[per mil]vs. VPDB VSMOW,DeltaDelta 45CO2/44CO2[per mil],R 46CO2/44CO2,rR 46CO2/44CO2,rd 46CO2/44CO2[per mil]vs. CO2 Lhyges,d 46CO2/44CO2[per mil]vs. VPDB VSMOW,DeltaDelta 46CO2/44CO2[per mil],R 13C/12C,d 13C/12C[per mil]vs. VPDB,AT% 13C/12C[%],R 18O/16O,d 18O/16O[per mil]vs. VSMOW,AT% 18O/16O[%],R 17O/16O,d 17O/16O
AO_W6_4-2_-0003.dxf,1, - , - ,CO2 Lhyges,37.2,65.4,69.0,31.8,0.000,1320,1564,1794,0.6,0.6,0.3,38.356,37.755,0.448,0.154,133846,37755,44750,51341,0.0119348,1.1852852,0.250,-4.176, - ,0.0040197,1.3598525,0.047,0.037, - ,0.0111301,-4.478,1.100762,0.0020053,0.047,0.200128,0.0004023,0.024
AO_W6_4-2_-0003.dxf,2, - , - ,CO2 Lhyges,97.0,125.4,128.7,31.8,0.000,1309,1552,1781,1.1,1.2,0.9,38.262,37.662,0.446,0.154,133506,37662,44631,51214,0.0119322,1.1850253,0.031,-4.394, - ,0.0040196,1.3598206,0.024,0.013, - ,0.0111275,-4.711,1.100507,0.0020052,0.024,0.200123,0.0004023,0.012
AO_W6_4-2_-0003.dxf,3*, - , - ,CO2 Lhyges,156.5,184.1,188.5,32.0,0.000,1309,1552,1781,1.2,1.3,1.0,38.264,37.664,0.446,0.154,133512,37664,44632,51216,0.0119318,1.1849889,0.000,-4.425, - ,0.0040195,1.3597882,0.000,-0.011, - ,0.0111272,-4.743,1.100472,0.0020052,-0.000,0.200119,0.0004023,-0.000
AO_W6_4-2_-0003.dxf,4, - , - ,CO2 Lhyges,216.3,245.8,248.3,32.0,0.000,1310,1553,1782,1.2,1.3,1.1,38.268,37.668,0.446,0.154,133525,37668,44635,51222,0.0119316,1.1849633,-0.022,-4.446, - ,0.0040196,1.3598213,0.024,0.014, - ,0.0111269,-4.767,1.100446,0.0020052,0.024,0.200124,0.0004023,0.013
AO_W6_4-2_-0003.dxf,6,S-Metolachlor, - ,CO2 Lhyges,2214.1,2235.7,2253.4,39.3,0.000,1549,1771,2052,143.1,165.3,188.7,14.457,14.236,0.165,0.057,49555,14236,16453,18866,0.0116369,1.1556969,-24.719,-29.034, - ,0.0039173,1.3252220,-25.420,-25.431, - ,0.0108428,-30.175,1.072653,0.0019543,-25.391,0.195047,0.0003970,-13.183
AO_W6_4-2_-0003.dxf,7, - , - ,CO2 Lhyges,2763.6,2793.1,2795.6,32.0,0.000,1313,1556,1786,0.6,0.5,0.2,38.042,37.445,0.444,0.153,132750,37445,44387,50917,0.0119358,1.1853792,0.329,-4.097, - ,0.0040195,1.3597713,-0.012,-0.023, - ,0.0111311,-4.391,1.100857,0.0020052,-0.013,0.200116,0.0004023,-0.007
AO_W6_4-2_-0003.dxf,8, - , - ,CO2 Lhyges,2823.4,2852.9,2855.4,32.0,0.000,1314,1558,1787,1.1,1.1,0.9,38.357,37.756,0.447,0.154,133840,37756,44744,51341,0.0119328,1.1850891,0.085,-4.340, - ,0.0040196,1.3598204,0.024,0.013, - ,0.0111282,-4.654,1.100570,0.0020052,0.023,0.200123,0.0004023,0.012
