Filename,Peak Nr.,Component,Master Peak,Ref. Name,Start[s],Rt[s],End[s],Width[s],Sample Dilution[%],Ampl. 44[mV],Ampl. 45[mV],Ampl. 46[mV],BGD 44[mV],BGD 45[mV],BGD 46[mV],Area All[Vs],Area 44[Vs],Area 45[Vs],Area 46[Vs],rArea All[mVs],rArea 44[mVs],rArea 45[mVs],rArea 46[mVs],R 45CO2/44CO2,rR 45CO2/44CO2,rd 45CO2/44CO2[per mil]vs. CO2 Lhyges,d 45CO2/44CO2[per mil]vs. VPDB VSMOW,DeltaDelta 45CO2/44CO2[per mil],R 46CO2/44CO2,rR 46CO2/44CO2,rd 46CO2/44CO2[per mil]vs. CO2 Lhyges,d 46CO2/44CO2[per mil]vs. VPDB VSMOW,DeltaDelta 46CO2/44CO2[per mil],R 13C/12C,d 13C/12C[per mil]vs. VPDB,AT% 13C/12C[%],R 18O/16O,d 18O/16O[per mil]vs. VSMOW,AT% 18O/16O[%],R 17O/16O,d 17O/16O
AO_W11_2-1_-0005.dxf,1, - , - ,CO2 Lhyges,37.2,66.7,69.2,32.0,0.000,1302,1544,1771,0.6,0.5,0.2,37.852,37.258,0.442,0.152,132099,37258,44170,50671,0.0119349,1.1855298,0.260,-4.165, - ,0.0040197,1.3600036,0.047,0.037, - ,0.0111303,-4.467,1.100774,0.0020053,0.047,0.200128,0.0004023,0.024
AO_W11_2-1_-0005.dxf,2, - , - ,CO2 Lhyges,97.0,126.4,129.0,32.0,0.000,1293,1533,1758,1.1,1.2,0.9,37.736,37.144,0.440,0.152,131686,37144,44027,50515,0.0119325,1.1852862,0.055,-4.370, - ,0.0040196,1.3599652,0.019,0.009, - ,0.0111278,-4.685,1.100535,0.0020052,0.019,0.200123,0.0004023,0.010
AO_W11_2-1_-0005.dxf,3*, - , - ,CO2 Lhyges,156.8,186.0,188.7,32.0,0.000,1293,1532,1758,1.3,1.4,1.1,37.742,37.150,0.440,0.152,131704,37150,44031,50522,0.0119318,1.1852211,0.000,-4.425, - ,0.0040195,1.3599391,0.000,-0.011, - ,0.0111272,-4.743,1.100472,0.0020052,-0.000,0.200119,0.0004023,-0.000
AO_W11_2-1_-0005.dxf,4, - , - ,CO2 Lhyges,216.5,245.6,248.3,31.8,0.000,1295,1535,1762,1.3,1.4,1.1,37.769,37.176,0.441,0.152,131795,37176,44060,50559,0.0119314,1.1851746,-0.039,-4.464, - ,0.0040196,1.3599794,0.030,0.019, - ,0.0111267,-4.786,1.100425,0.0020053,0.030,0.200125,0.0004023,0.015
AO_W11_2-1_-0005.dxf,12+,S-Metolachlor,6,CO2 Lhyges,2223.1,2231.5,2239.2,16.1, - ,486,560,646,123.4,142.8,163.2,4.151,4.026,0.047,0.016,14034,4026,4655,5353,0.0116391,1.1561453,-24.532,-28.848,1.201,0.0039300,1.3296679,-22.259,-22.270,-1.804,0.0108437,-30.094,1.072741,0.0019606,-22.227,0.195679,0.0003977,-11.531
AO_W11_2-1_-0005.dxf,13+,S-Metolachlor,12,CO2 Lhyges,2223.1,2231.5,2239.2,16.1, - ,481,554,639,128.6,149.1,170.1,4.064,3.941,0.046,0.016,13737,3941,4554,5242,0.0116318,1.1554202,-25.144,-29.457,-0.627,0.0039311,1.3300098,-22.008,-22.018,0.257,0.0108363,-30.757,1.072017,0.0019611,-21.974,0.195730,0.0003977,-11.399
AO_W11_2-1_-0005.dxf,14+,S-Metolachlor,13,CO2 Lhyges,2223.1,2231.5,2239.2,16.1, - ,470,541,623,-950.3,-1101.9,-1271.5,3.880,3.763,0.044,0.015,13114,3763,4351,4999,0.0116396,1.1561935,-24.491,-28.807,0.669,0.0039265,1.3284680,-23.142,-23.152,-1.159,0.0108446,-30.018,1.072825,0.0019589,-23.110,0.195503,0.0003975,-11.992
AO_W11_2-1_-0005.dxf,15+,S-Metolachlor,14,CO2 Lhyges,2223.1,2231.5,2239.2,16.1, - ,464,534,616,-187.6,-211.4,-267.4,3.785,3.671,0.042,0.015,12792,3671,4242,4879,0.0116307,1.1553140,-25.233,-29.546,-0.761,0.0039276,1.3288337,-22.873,-22.883,0.275,0.0108356,-30.820,1.071948,0.0019594,-22.839,0.195557,0.0003976,-11.851
AO_W11_2-1_-0005.dxf,18+,S-Metolachlor,12,CO2 Lhyges,2223.1,2231.5,2239.2,16.1, - ,478,550,634,132.0,152.8,174.7,4.008,3.887,0.045,0.016,13550,3887,4494,5169,0.0116382,1.1560506,-24.612,-28.927,-0.082,0.0039299,1.3296224,-22.293,-22.303,-0.034,0.0108428,-30.178,1.072650,0.0019606,-22.260,0.195673,0.0003977,-11.549
AO_W11_2-1_-0005.dxf,10, - , - ,CO2 Lhyges,2763.8,2792.2,2795.6,31.8,0.000,1293,1533,1758,0.6,0.6,0.2,37.447,36.860,0.437,0.150,130686,36860,43700,50126,0.0119354,1.1855748,0.298,-4.127, - ,0.0040194,1.3599109,-0.021,-0.031, - ,0.0111307,-4.424,1.100821,0.0020052,-0.021,0.200114,0.0004023,-0.011
AO_W11_2-1_-0005.dxf,11, - , - ,CO2 Lhyges,2823.4,2852.4,2855.4,32.0,0.000,1296,1536,1762,1.1,1.1,0.9,37.780,37.187,0.441,0.152,131837,37187,44080,50570,0.0119330,1.1853395,0.100,-4.325, - ,0.0040194,1.3598878,-0.038,-0.048, - ,0.0111284,-4.635,1.100590,0.0020051,-0.038,0.200111,0.0004023,-0.020
