Filename,Peak Nr.,Component,Master Peak,Ref. Name,Start[s],Rt[s],End[s],Width[s],Sample Dilution[%],Ampl. 44[mV],Ampl. 45[mV],Ampl. 46[mV],BGD 44[mV],BGD 45[mV],BGD 46[mV],Area All[Vs],Area 44[Vs],Area 45[Vs],Area 46[Vs],rArea All[mVs],rArea 44[mVs],rArea 45[mVs],rArea 46[mVs],R 45CO2/44CO2,rR 45CO2/44CO2,rd 45CO2/44CO2[per mil]vs. CO2 Lhyges,d 45CO2/44CO2[per mil]vs. VPDB VSMOW,DeltaDelta 45CO2/44CO2[per mil],R 46CO2/44CO2,rR 46CO2/44CO2,rd 46CO2/44CO2[per mil]vs. CO2 Lhyges,d 46CO2/44CO2[per mil]vs. VPDB VSMOW,DeltaDelta 46CO2/44CO2[per mil],R 13C/12C,d 13C/12C[per mil]vs. VPDB,AT% 13C/12C[%],R 18O/16O,d 18O/16O[per mil]vs. VSMOW,AT% 18O/16O[%],R 17O/16O,d 17O/16O
AO_W10_3-1_-0001.dxf,1, - , - ,CO2 Lhyges,37.4,66.9,69.2,31.8,0.000,1264,1496,1720,1.0,1.1,1.1,36.925,36.347,0.430,0.148,128847,36347,43034,49467,0.0119329,1.1839730,0.092,-4.333, - ,0.0040197,1.3609647,0.045,0.034, - ,0.0111283,-4.646,1.100578,0.0020053,0.045,0.200128,0.0004023,0.023
AO_W10_3-1_-0001.dxf,2, - , - ,CO2 Lhyges,97.2,125.2,129.0,31.8,0.000,1255,1485,1707,1.3,1.4,1.6,36.707,36.132,0.428,0.148,128082,36132,42776,49174,0.0119320,1.1838800,0.014,-4.411, - ,0.0040197,1.3609602,0.042,0.031, - ,0.0111273,-4.730,1.100487,0.0020053,0.042,0.200127,0.0004023,0.021
AO_W10_3-1_-0001.dxf,3*, - , - ,CO2 Lhyges,156.8,186.4,188.7,32.0,0.000,1255,1486,1708,1.4,1.5,1.7,36.788,36.211,0.429,0.148,128360,36211,42869,49280,0.0119318,1.1838635,0.000,-4.425, - ,0.0040195,1.3609037,0.000,-0.011, - ,0.0111272,-4.743,1.100472,0.0020052,-0.000,0.200119,0.0004023,-0.000
AO_W10_3-1_-0001.dxf,4, - , - ,CO2 Lhyges,216.5,245.4,248.3,31.8,0.000,1253,1483,1706,1.4,1.6,1.7,36.620,36.046,0.427,0.147,127778,36046,42674,49058,0.0119317,1.1838504,-0.011,-4.436, - ,0.0040197,1.3609729,0.051,0.040, - ,0.0111270,-4.757,1.100457,0.0020053,0.051,0.200129,0.0004023,0.026
AO_W10_3-1_-0001.dxf,11+,S-Metolachlor,6,CO2 Lhyges,2249.0,2260.1,2275.6,26.5, - ,1534,1754,2050,42.5,52.2,63.5,12.765,12.380,0.143,0.050,43227,12380,14301,16547,0.0116429,1.1551959,-24.215,-28.533,1.041,0.0039477,1.3365988,-17.859,-17.870,-0.837,0.0108457,-29.921,1.072931,0.0019695,-17.823,0.196559,0.0003986,-9.236
AO_W10_3-1_-0001.dxf,12+,S-Metolachlor,11,CO2 Lhyges,2249.0,2260.1,2275.6,26.5, - ,1552,1775,2073,-345.6,-398.0,-476.4,13.233,12.833,0.148,0.051,44811,12833,14834,17144,0.0116497,1.1558741,-23.642,-27.962,0.587,0.0039456,1.3358662,-18.398,-18.408,-0.548,0.0108527,-29.290,1.073622,0.0019684,-18.363,0.196451,0.0003985,-9.518
AO_W10_3-1_-0001.dxf,13+,S-Metolachlor,6,CO2 Lhyges,2249.0,2260.1,2275.6,26.5, - ,1519,1736,2029,-312.6,-361.5,-432.1,12.332,11.960,0.138,0.048,41758,11960,13814,15984,0.0116407,1.1549790,-24.399,-28.715,0.853,0.0039474,1.3364891,-17.940,-17.950,-0.920,0.0108435,-30.114,1.072720,0.0019693,-17.903,0.196543,0.0003986,-9.278
AO_W10_3-1_-0001.dxf,14+,S-Metolachlor,13,CO2 Lhyges,2249.0,2260.1,2275.6,26.5, - ,1536,1756,2052,174.4,201.6,231.9,12.821,12.434,0.144,0.050,43413,12434,14363,16616,0.0116419,1.1550968,-24.299,-28.616,0.102,0.0039470,1.3363362,-18.052,-18.063,-0.114,0.0108448,-30.004,1.072841,0.0019691,-18.016,0.196521,0.0003986,-9.337
AO_W10_3-1_-0001.dxf,9, - , - ,CO2 Lhyges,2764.0,2791.6,2795.8,31.8,0.000,1259,1490,1713,1.0,1.0,1.1,36.741,36.165,0.428,0.148,128202,36165,42818,49219,0.0119329,1.1839736,0.093,-4.332, - ,0.0040197,1.3609513,0.035,0.024, - ,0.0111283,-4.645,1.100579,0.0020053,0.035,0.200126,0.0004023,0.018
AO_W10_3-1_-0001.dxf,10, - , - ,CO2 Lhyges,2823.8,2853.3,2855.6,31.8,0.000,1266,1498,1722,1.3,1.4,1.5,36.953,36.374,0.431,0.148,128935,36374,43062,49500,0.0119319,1.1838756,0.010,-4.414, - ,0.0040194,1.3608672,-0.027,-0.037, - ,0.0111273,-4.731,1.100485,0.0020051,-0.027,0.200113,0.0004023,-0.014
