Filename,Peak Nr.,Component,Master Peak,Ref. Name,Start[s],Rt[s],End[s],Width[s],Sample Dilution[%],Ampl. 44[mV],Ampl. 45[mV],Ampl. 46[mV],BGD 44[mV],BGD 45[mV],BGD 46[mV],Area All[Vs],Area 44[Vs],Area 45[Vs],Area 46[Vs],rArea All[mVs],rArea 44[mVs],rArea 45[mVs],rArea 46[mVs],R 45CO2/44CO2,rR 45CO2/44CO2,rd 45CO2/44CO2[per mil]vs. CO2 Lhyges,d 45CO2/44CO2[per mil]vs. VPDB VSMOW,DeltaDelta 45CO2/44CO2[per mil],R 46CO2/44CO2,rR 46CO2/44CO2,rd 46CO2/44CO2[per mil]vs. CO2 Lhyges,d 46CO2/44CO2[per mil]vs. VPDB VSMOW,DeltaDelta 46CO2/44CO2[per mil],R 13C/12C,d 13C/12C[per mil]vs. VPDB,AT% 13C/12C[%],R 18O/16O,d 18O/16O[per mil]vs. VSMOW,AT% 18O/16O[%],R 17O/16O,d 17O/16O
AO_W11_2-2_-0005.dxf,1, - , - ,CO2 Lhyges,37.2,66.7,69.2,32.0,0.000,1301,1542,1769,0.6,0.6,0.2,37.801,37.209,0.441,0.152,131920,37209,44110,50602,0.0119348,1.1854747,0.250,-4.176, - ,0.0040196,1.3599494,0.027,0.016, - ,0.0111301,-4.477,1.100763,0.0020053,0.026,0.200124,0.0004023,0.014
AO_W11_2-2_-0005.dxf,2, - , - ,CO2 Lhyges,97.0,126.4,129.0,32.0,0.000,1292,1531,1757,1.1,1.2,0.9,37.712,37.121,0.440,0.151,131600,37121,43997,50482,0.0119325,1.1852480,0.059,-4.366, - ,0.0040196,1.3599368,0.018,0.007, - ,0.0111279,-4.681,1.100540,0.0020052,0.018,0.200122,0.0004023,0.009
AO_W11_2-2_-0005.dxf,3*, - , - ,CO2 Lhyges,156.8,186.2,188.7,32.0,0.000,1293,1533,1759,1.2,1.3,1.1,37.739,37.147,0.440,0.152,131690,37147,44026,50517,0.0119318,1.1851783,0.000,-4.425, - ,0.0040195,1.3599128,0.000,-0.011, - ,0.0111272,-4.743,1.100472,0.0020052,-0.000,0.200119,0.0004023,-0.000
AO_W11_2-2_-0005.dxf,4, - , - ,CO2 Lhyges,216.5,245.8,248.5,32.0,0.000,1295,1534,1761,1.3,1.4,1.1,37.754,37.162,0.440,0.152,131743,37162,44043,50539,0.0119317,1.1851627,-0.013,-4.438, - ,0.0040197,1.3599656,0.039,0.028, - ,0.0111270,-4.758,1.100455,0.0020053,0.039,0.200126,0.0004023,0.020
AO_W11_2-2_-0005.dxf,12+,S-Metolachlor,6,CO2 Lhyges,2223.3,2232.1,2239.4,16.1, - ,545,627,724,137.2,159.1,181.6,4.578,4.440,0.051,0.018,15467,4440,5129,5899,0.0116301,1.1552065,-25.289,-29.601,0.198,0.0039272,1.3286743,-22.971,-22.981,-1.665,0.0108350,-30.875,1.071887,0.0019592,-22.938,0.195537,0.0003975,-11.902
AO_W11_2-2_-0005.dxf,13+,S-Metolachlor,12,CO2 Lhyges,2223.3,2232.1,2239.4,16.1, - ,534,614,709,148.6,171.9,196.8,4.388,4.255,0.049,0.017,14833,4255,4924,5654,0.0116494,1.1571268,-23.669,-27.988,1.662,0.0039268,1.3285414,-23.069,-23.079,-0.100,0.0108544,-29.142,1.073783,0.0019590,-23.039,0.195517,0.0003975,-11.955
AO_W11_2-2_-0005.dxf,14+,S-Metolachlor,13,CO2 Lhyges,2223.3,2232.1,2239.4,16.1, - ,536,616,711,146.7,169.8,194.2,4.419,4.286,0.050,0.017,14937,4286,4957,5695,0.0116437,1.1565619,-24.145,-28.463,-0.488,0.0039274,1.3287622,-22.906,-22.917,0.166,0.0108486,-29.657,1.073220,0.0019593,-22.876,0.195550,0.0003976,-11.870
AO_W11_2-2_-0005.dxf,15+,S-Metolachlor,14,CO2 Lhyges,2223.3,2232.1,2239.4,16.1, - ,529,608,701,-596.3,-694.3,-800.4,4.308,4.178,0.048,0.017,14557,4178,4834,5546,0.0116495,1.1571379,-23.659,-27.979,0.498,0.0039236,1.3274634,-23.861,-23.872,-0.977,0.0108548,-29.103,1.073827,0.0019574,-23.833,0.195359,0.0003973,-12.370
AO_W11_2-2_-0005.dxf,16+,S-Metolachlor,15,CO2 Lhyges,2223.3,2232.1,2239.4,16.1, - ,532,612,706,150.4,174.1,199.0,4.359,4.227,0.049,0.017,14734,4227,4888,5618,0.0116416,1.1563553,-24.320,-28.636,-0.676,0.0039282,1.3290254,-22.713,-22.723,1.177,0.0108465,-29.850,1.073008,0.0019597,-22.682,0.195589,0.0003976,-11.769
AO_W11_2-2_-0005.dxf,10, - , - ,CO2 Lhyges,2763.6,2793.1,2795.6,32.0,0.000,1293,1532,1758,0.6,0.5,0.2,37.489,36.901,0.437,0.151,130834,36901,43749,50183,0.0119357,1.1855661,0.327,-4.099, - ,0.0040196,1.3599305,0.013,0.002, - ,0.0111311,-4.394,1.100853,0.0020052,0.012,0.200121,0.0004023,0.006
AO_W11_2-2_-0005.dxf,11, - , - ,CO2 Lhyges,2823.4,2852.8,2855.4,32.0,0.000,1297,1537,1763,1.1,1.2,0.9,37.790,37.197,0.441,0.152,131872,37197,44089,50586,0.0119329,1.1852811,0.087,-4.338, - ,0.0040196,1.3599296,0.012,0.002, - ,0.0111282,-4.651,1.100573,0.0020052,0.012,0.200121,0.0004023,0.006
