Filename,Peak Nr.,Component,Master Peak,Ref. Name,Start[s],Rt[s],End[s],Width[s],Sample Dilution[%],Ampl. 44[mV],Ampl. 45[mV],Ampl. 46[mV],BGD 44[mV],BGD 45[mV],BGD 46[mV],Area All[Vs],Area 44[Vs],Area 45[Vs],Area 46[Vs],rArea All[mVs],rArea 44[mVs],rArea 45[mVs],rArea 46[mVs],R 45CO2/44CO2,rR 45CO2/44CO2,rd 45CO2/44CO2[per mil]vs. CO2 Lhyges,d 45CO2/44CO2[per mil]vs. VPDB VSMOW,DeltaDelta 45CO2/44CO2[per mil],R 46CO2/44CO2,rR 46CO2/44CO2,rd 46CO2/44CO2[per mil]vs. CO2 Lhyges,d 46CO2/44CO2[per mil]vs. VPDB VSMOW,DeltaDelta 46CO2/44CO2[per mil],R 13C/12C,d 13C/12C[per mil]vs. VPDB,AT% 13C/12C[%],R 18O/16O,d 18O/16O[per mil]vs. VSMOW,AT% 18O/16O[%],R 17O/16O,d 17O/16O
AO_W13_2-2_-0006.dxf,1, - , - ,CO2 Lhyges,37.2,66.7,69.2,32.0,0.000,1290,1529,1754,0.6,0.5,0.1,37.451,36.864,0.437,0.150,130670,36864,43688,50118,0.0119353,1.1850920,0.289,-4.137, - ,0.0040194,1.3595323,-0.026,-0.037, - ,0.0111306,-4.434,1.100810,0.0020051,-0.027,0.200113,0.0004023,-0.014
AO_W13_2-2_-0006.dxf,2, - , - ,CO2 Lhyges,97.0,122.9,129.0,32.0,0.000,1280,1516,1740,1.1,1.2,0.9,37.349,36.764,0.436,0.150,130301,36764,43561,49976,0.0119331,1.1848803,0.110,-4.315, - ,0.0040190,1.3593873,-0.133,-0.144, - ,0.0111285,-4.620,1.100606,0.0020049,-0.134,0.200092,0.0004023,-0.069
AO_W13_2-2_-0006.dxf,3*, - , - ,CO2 Lhyges,156.8,186.0,188.7,32.0,0.000,1282,1518,1742,1.2,1.3,1.0,37.406,36.819,0.436,0.150,130500,36819,43622,50058,0.0119318,1.1847497,0.000,-4.425, - ,0.0040195,1.3595683,0.000,-0.011, - ,0.0111272,-4.743,1.100472,0.0020052,-0.000,0.200119,0.0004023,-0.000
AO_W13_2-2_-0006.dxf,4, - , - ,CO2 Lhyges,216.5,245.2,248.5,32.0,0.000,1281,1517,1741,1.3,1.4,1.1,37.398,36.811,0.436,0.150,130467,36811,43612,50044,0.0119317,1.1847404,-0.008,-4.432, - ,0.0040192,1.3594739,-0.069,-0.080, - ,0.0111271,-4.749,1.100466,0.0020051,-0.069,0.200105,0.0004023,-0.036
AO_W13_2-2_-0006.dxf,6,S-Metolachlor, - ,CO2 Lhyges,2224.2,2235.5,2242.2,18.0,0.000,1150,1318,1525,218.4,252.8,288.2,9.570,9.424,0.109,0.038,32820,9424,10891,12505,0.0116399,1.1557682,-24.462,-28.779, - ,0.0039232,1.3270000,-23.955,-23.965, - ,0.0108453,-29.956,1.072893,0.0019572,-23.925,0.195340,0.0003973,-12.418
AO_W13_2-2_-0006.dxf,12+,S-Metolachlor,6,CO2 Lhyges,2224.2,2235.5,2242.2,18.0, - ,1192,1367,1580,176.4,203.8,232.7,10.495,10.178,0.118,0.041,35462,10178,11772,13512,0.0116483,1.1566013,-23.759,-28.078,0.721,0.0039249,1.3275718,-23.534,-23.545,0.431,0.0108535,-29.221,1.073697,0.0019581,-23.505,0.195424,0.0003974,-12.199
AO_W13_2-2_-0006.dxf,13+,S-Metolachlor,12,CO2 Lhyges,2224.0,2235.5,2251.6,27.6, - ,1192,1367,1580,176.4,203.8,232.7,11.688,11.335,0.131,0.045,39494,11335,13113,15046,0.0116501,1.1567767,-23.611,-27.931,0.152,0.0039244,1.3273884,-23.669,-23.680,-0.138,0.0108553,-29.058,1.073875,0.0019578,-23.641,0.195397,0.0003974,-12.269
AO_W13_2-2_-0006.dxf,14+,S-Metolachlor,13,CO2 Lhyges,2222.5,2235.5,2244.7,22.2, - ,1192,1367,1580,176.4,203.8,232.7,11.128,10.792,0.125,0.043,37601,10792,12481,14327,0.0116477,1.1565390,-23.812,-28.131,-0.205,0.0039248,1.3275449,-23.554,-23.564,0.118,0.0108529,-29.277,1.073636,0.0019580,-23.525,0.195420,0.0003974,-12.209
AO_W13_2-2_-0006.dxf,15+,S-Metolachlor,14,CO2 Lhyges,2216.7,2235.5,2242.4,25.7, - ,1192,1367,1580,176.4,203.8,232.7,10.974,10.643,0.123,0.042,37083,10643,12308,14132,0.0116470,1.1564720,-23.868,-28.187,-0.058,0.0039257,1.3278318,-23.343,-23.353,0.216,0.0108521,-29.345,1.073561,0.0019585,-23.314,0.195462,0.0003975,-12.099
AO_W13_2-2_-0006.dxf,10, - , - ,CO2 Lhyges,2763.8,2792.9,2795.8,32.0,0.000,1280,1517,1741,0.6,0.5,0.2,37.116,36.534,0.433,0.149,129498,36534,43298,49667,0.0119358,1.1851448,0.333,-4.093, - ,0.0040193,1.3594795,-0.065,-0.076, - ,0.0111312,-4.385,1.100864,0.0020051,-0.066,0.200106,0.0004023,-0.034
AO_W13_2-2_-0006.dxf,11, - , - ,CO2 Lhyges,2823.4,2852.8,2855.4,32.0,0.000,1283,1520,1744,1.1,1.2,0.9,37.420,36.833,0.436,0.150,130551,36833,43643,50075,0.0119331,1.1848730,0.104,-4.321, - ,0.0040193,1.3595025,-0.048,-0.059, - ,0.0111284,-4.630,1.100595,0.0020051,-0.049,0.200109,0.0004023,-0.025
