Filename,Peak Nr.,Component,Master Peak,Ref. Name,Start[s],Rt[s],End[s],Width[s],Sample Dilution[%],Ampl. 44[mV],Ampl. 45[mV],Ampl. 46[mV],BGD 44[mV],BGD 45[mV],BGD 46[mV],Area All[Vs],Area 44[Vs],Area 45[Vs],Area 46[Vs],rArea All[mVs],rArea 44[mVs],rArea 45[mVs],rArea 46[mVs],R 45CO2/44CO2,rR 45CO2/44CO2,rd 45CO2/44CO2[per mil]vs. CO2 Lhyges,d 45CO2/44CO2[per mil]vs. VPDB VSMOW,DeltaDelta 45CO2/44CO2[per mil],R 46CO2/44CO2,rR 46CO2/44CO2,rd 46CO2/44CO2[per mil]vs. CO2 Lhyges,d 46CO2/44CO2[per mil]vs. VPDB VSMOW,DeltaDelta 46CO2/44CO2[per mil],R 13C/12C,d 13C/12C[per mil]vs. VPDB,AT% 13C/12C[%],R 18O/16O,d 18O/16O[per mil]vs. VSMOW,AT% 18O/16O[%],R 17O/16O,d 17O/16O
AO_W10_5-1_-0005.dxf,1, - , - ,CO2 Lhyges,37.2,66.7,69.2,32.0,0.000,1305,1547,1775,0.6,0.5,0.2,37.855,37.261,0.442,0.152,132117,37261,44176,50679,0.0119351,1.1855679,0.278,-4.148, - ,0.0040197,1.3601041,0.058,0.047, - ,0.0111305,-4.449,1.100794,0.0020053,0.057,0.200130,0.0004023,0.029
AO_W10_5-1_-0005.dxf,2, - , - ,CO2 Lhyges,97.0,126.4,129.0,32.0,0.000,1294,1534,1760,1.1,1.2,0.9,37.777,37.185,0.441,0.152,131832,37185,44076,50571,0.0119328,1.1853327,0.079,-4.346, - ,0.0040195,1.3600105,-0.011,-0.022, - ,0.0111281,-4.658,1.100565,0.0020052,-0.012,0.200116,0.0004023,-0.006
AO_W10_5-1_-0005.dxf,3*, - , - ,CO2 Lhyges,156.8,184.5,188.7,32.0,0.000,1295,1535,1761,1.2,1.3,1.1,37.811,37.218,0.441,0.152,131947,37218,44112,50617,0.0119318,1.1852386,0.000,-4.425, - ,0.0040195,1.3600259,0.000,-0.011, - ,0.0111272,-4.743,1.100472,0.0020052,-0.000,0.200119,0.0004023,-0.000
AO_W10_5-1_-0005.dxf,4, - , - ,CO2 Lhyges,216.5,245.8,248.3,31.8,0.000,1296,1536,1762,1.3,1.4,1.1,37.802,37.209,0.441,0.152,131915,37209,44100,50605,0.0119314,1.1851991,-0.033,-4.458, - ,0.0040195,1.3600055,-0.015,-0.026, - ,0.0111268,-4.778,1.100434,0.0020052,-0.015,0.200116,0.0004023,-0.008
AO_W10_5-1_-0005.dxf,12+,S-Metolachlor,11,CO2 Lhyges,2216.7,2235.3,2250.7,34.1, - ,1870,2141,2487,166.1,192.1,220.3,16.481,15.983,0.185,0.064,55751,15983,18495,21272,0.0116489,1.1571358,-23.711,-28.030,-1.188,0.0039334,1.3308819,-21.429,-21.439,0.433,0.0108532,-29.249,1.073666,0.0019623,-21.398,0.195845,0.0003979,-11.099
AO_W10_5-1_-0005.dxf,14+,S-Metolachlor,12,CO2 Lhyges,2216.7,2235.3,2250.7,34.1, - ,1850,2117,2460,-479.1,-474.0,-745.8,15.856,15.378,0.178,0.061,53631,15378,17782,20471,0.0116408,1.1563270,-24.393,-28.710,-0.699,0.0039344,1.3312227,-21.178,-21.189,0.256,0.0108449,-29.987,1.072859,0.0019628,-21.145,0.195895,0.0003979,-10.967
AO_W10_5-1_-0005.dxf,6,S-Metolachlor, - ,CO2 Lhyges,2216.7,2235.3,2250.7,34.1,0.000,1880,2153,2500,155.8,179.8,206.6,16.571,16.317,0.189,0.065,56920,16317,18892,21712,0.0116559,1.1578277,-23.127,-27.449, - ,0.0039327,1.3306371,-21.609,-21.619, - ,0.0108602,-28.619,1.074356,0.0019619,-21.579,0.195809,0.0003978,-11.194
AO_W10_5-1_-0005.dxf,9, - , - ,CO2 Lhyges,2763.6,2793.1,2795.6,32.0,0.000,1297,1537,1763,0.6,0.6,0.2,37.563,36.974,0.438,0.151,131097,36974,43837,50286,0.0119356,1.1856118,0.315,-4.111, - ,0.0040195,1.3600306,0.003,-0.007, - ,0.0111309,-4.407,1.100839,0.0020052,0.003,0.200119,0.0004023,0.001
AO_W10_5-1_-0005.dxf,10, - , - ,CO2 Lhyges,2823.4,2852.8,2855.4,32.0,0.000,1299,1540,1767,1.1,1.2,0.8,37.875,37.281,0.442,0.152,132178,37281,44191,50706,0.0119330,1.1853528,0.096,-4.329, - ,0.0040198,1.3601188,0.068,0.058, - ,0.0111283,-4.643,1.100582,0.0020053,0.068,0.200132,0.0004023,0.035
