Filename,Peak Nr.,Component,Master Peak,Ref. Name,Start[s],Rt[s],End[s],Width[s],Sample Dilution[%],Ampl. 44[mV],Ampl. 45[mV],Ampl. 46[mV],BGD 44[mV],BGD 45[mV],BGD 46[mV],Area All[Vs],Area 44[Vs],Area 45[Vs],Area 46[Vs],rArea All[mVs],rArea 44[mVs],rArea 45[mVs],rArea 46[mVs],R 45CO2/44CO2,rR 45CO2/44CO2,rd 45CO2/44CO2[per mil]vs. CO2 Lhyges,d 45CO2/44CO2[per mil]vs. VPDB VSMOW,DeltaDelta 45CO2/44CO2[per mil],R 46CO2/44CO2,rR 46CO2/44CO2,rd 46CO2/44CO2[per mil]vs. CO2 Lhyges,d 46CO2/44CO2[per mil]vs. VPDB VSMOW,DeltaDelta 46CO2/44CO2[per mil],R 13C/12C,d 13C/12C[per mil]vs. VPDB,AT% 13C/12C[%],R 18O/16O,d 18O/16O[per mil]vs. VSMOW,AT% 18O/16O[%],R 17O/16O,d 17O/16O
AW_N_1-3_-0000.dxf,19,S-Metolachlor, - ,CO2 Lhyges,2638.4,2648.0,2658.9,20.5,0.000,109,125,145,115.3,127.2,149.5,0.989,0.974,0.011,0.004,3388,974,1116,1298,0.0116507,1.1460912,-24.510,-27.877, - ,0.0039829,1.3327730,-9.105,-9.113, - ,0.0108499,-29.546,1.073341,0.0019870,-9.057,0.198310,0.0004004,-4.684
AW_N_1-3_-0000.dxf,34+,S-Metolachlor,19,CO2 Lhyges,2638.4,2648.0,2658.9,20.5, - ,116,133,155,401.5,456.1,529.4,1.158,1.123,0.013,0.005,3910,1123,1286,1501,0.0116460,1.1456214,-24.910,-28.276,-0.410,0.0039940,1.3364636,-6.361,-6.369,2.769,0.0108439,-30.076,1.072761,0.0019925,-6.309,0.198859,0.0004010,-3.260
AW_N_1-3_-0000.dxf,35+,S-Metolachlor,34,CO2 Lhyges,2638.4,2648.0,2658.9,20.5, - ,117,134,156,401.6,457.2,531.4,1.168,1.133,0.013,0.005,3943,1133,1298,1512,0.0116443,1.1454553,-25.051,-28.417,-0.145,0.0039895,1.3349835,-7.461,-7.470,-1.107,0.0108427,-30.186,1.072641,0.0019903,-7.410,0.198639,0.0004008,-3.831
AW_N_1-3_-0000.dxf,36+,S-Metolachlor,19,CO2 Lhyges,2638.0,2648.0,2659.3,21.3, - ,109,125,145,115.3,127.2,149.5,1.007,0.977,0.011,0.004,3399,977,1120,1302,0.0116501,1.1460298,-24.563,-27.929,-0.054,0.0039830,1.3327970,-9.087,-9.095,0.018,0.0108492,-29.603,1.073279,0.0019871,-9.039,0.198313,0.0004004,-4.674
AW_N_1-3_-0000.dxf,37+,S-Metolachlor,36,CO2 Lhyges,2638.0,2648.0,2659.3,21.3, - ,112,128,149,832.0,943.8,1109.4,1.070,1.038,0.012,0.004,3614,1038,1189,1387,0.0116464,1.1456650,-24.873,-28.239,-0.318,0.0039911,1.3355209,-7.062,-7.070,2.044,0.0108447,-30.010,1.072833,0.0019911,-7.011,0.198719,0.0004009,-3.624
AW_N_1-3_-0000.dxf,20, - , - ,CO2 Lhyges,2708.2,2723.3,2733.9,25.7,0.000,25,28,33,95.5,104.7,122.9,0.361,0.356,0.004,0.001,1237,356,404,477,0.0115595,1.1371122,-32.153,-35.493, - ,0.0040097,1.3417297,-2.446,-2.454, - ,0.0107558,-37.960,1.064135,0.0020004,-2.372,0.199645,0.0004018,-1.225
AW_N_1-3_-0000.dxf,21, - , - ,CO2 Lhyges,2752.7,2758.6,2763.6,10.9,0.000,20,23,27,92.3,100.8,118.6,0.126,0.124,0.001,0.000,432,124,142,166,0.0116584,1.1468424,-23.871,-27.240, - ,0.0040210,1.3455246,0.376,0.367, - ,0.0108536,-29.217,1.073702,0.0020061,0.433,0.200205,0.0004024,0.224
AW_N_1-3_-0000.dxf,22, - , - ,CO2 Lhyges,3118.1,3124.8,3137.3,19.2,0.000,23,27,31,111.2,122.3,144.0,0.262,0.258,0.003,0.001,903,258,299,346,0.0117457,1.1554320,-16.560,-19.954, - ,0.0039964,1.3372666,-5.764,-5.772, - ,0.0109434,-21.177,1.082497,0.0019937,-5.731,0.198974,0.0004011,-2.961
AW_N_1-3_-0000.dxf,23, - , - ,CO2 Lhyges,3138.8,3152.8,3157.4,18.6,0.000,46,52,61,113.8,125.2,147.5,0.456,0.449,0.005,0.002,1567,449,516,602,0.0116883,1.1497851,-21.366,-24.744, - ,0.0040077,1.3410697,-2.937,-2.945, - ,0.0108848,-26.418,1.076764,0.0019994,-2.889,0.199542,0.0004017,-1.492
AW_N_1-3_-0000.dxf,24, - , - ,CO2 Lhyges,3211.9,3217.1,3223.2,11.3,0.000,38,44,51,120.6,133.0,156.6,0.204,0.201,0.002,0.001,700,201,232,267,0.0117454,1.1553992,-16.588,-19.982, - ,0.0039815,1.3322864,-9.467,-9.475, - ,0.0109446,-21.069,1.082616,0.0019863,-9.438,0.198234,0.0004004,-4.881
AW_N_1-3_-0000.dxf,25, - , - ,CO2 Lhyges,3235.5,3244.3,3249.7,14.2,0.000,39,45,52,107.9,118.6,139.6,0.325,0.320,0.004,0.001,1117,320,368,429,0.0116963,1.1505718,-20.697,-24.077, - ,0.0040104,1.3419681,-2.269,-2.277, - ,0.0108926,-25.727,1.077520,0.0020007,-2.222,0.199675,0.0004019,-1.147
AW_N_1-3_-0000.dxf,26, - , - ,CO2 Lhyges,3267.3,3274.4,3282.8,15.5,0.000,49,56,66,111.5,122.6,144.5,0.335,0.330,0.004,0.001,1148,330,379,439,0.0116690,1.1478897,-22.979,-26.352, - ,0.0039783,1.3312213,-10.259,-10.267, - ,0.0108686,-27.868,1.075177,0.0019847,-10.216,0.198078,0.0004002,-5.284
AW_N_1-3_-0000.dxf,27, - , - ,CO2 Lhyges,3289.9,3295.9,3302.6,12.7,0.000,23,26,30,104.5,114.7,135.1,0.182,0.180,0.002,0.001,621,180,204,237,0.0115480,1.1359799,-33.116,-36.454, - ,0.0039474,1.3208842,-17.944,-17.952, - ,0.0107508,-38.410,1.063642,0.0019693,-17.886,0.196546,0.0003986,-9.270
AW_N_1-3_-0000.dxf,28, - , - ,CO2 Lhyges,3325.8,3335.2,3341.1,15.3,0.000,23,26,31,101.8,111.5,131.5,0.245,0.242,0.003,0.001,841,242,277,322,0.0116630,1.1472993,-23.482,-26.853, - ,0.0039887,1.3346901,-7.680,-7.688, - ,0.0108616,-28.501,1.074485,0.0019899,-7.633,0.198594,0.0004007,-3.946
AW_N_1-3_-0000.dxf,29, - , - ,CO2 Lhyges,3360.9,3366.6,3371.0,10.0,0.000,25,29,34,113.8,125.2,147.4,0.150,0.147,0.002,0.001,514,147,172,195,0.0118344,1.1641552,-9.135,-12.555, - ,0.0039578,1.3243687,-15.353,-15.362, - ,0.0110361,-12.887,1.091566,0.0019744,-15.350,0.197053,0.0003991,-7.950
AW_N_1-3_-0000.dxf,30, - , - ,CO2 Lhyges,3402.3,3409.4,3415.5,13.2,0.000,42,48,56,112.5,123.8,145.7,0.309,0.305,0.003,0.001,1058,305,348,406,0.0116041,1.1415066,-28.412,-31.766, - ,0.0039807,1.3320244,-9.662,-9.670, - ,0.0108035,-33.695,1.068802,0.0019859,-9.605,0.198200,0.0004003,-4.968
AW_N_1-3_-0000.dxf,31, - , - ,CO2 Lhyges,3499.7,3655.2,3671.1,171.4,0.000,331,380,443,134.5,149.0,175.2,25.475,25.087,0.288,0.101,87382,25087,28778,33517,0.0116610,1.1471034,-23.649,-27.019, - ,0.0039927,1.3360336,-6.681,-6.689, - ,0.0108591,-28.717,1.074249,0.0019919,-6.632,0.198794,0.0004009,-3.428
AW_N_1-3_-0000.dxf,32, - , - ,CO2 Lhyges,3699.7,3720.0,3731.9,32.2,0.000,1462,1718,1967,5.1,0.4,2.0,42.710,42.046,0.494,0.170,147997,42046,49398,56552,0.0119432,1.1748626,-0.022,-3.473, - ,0.0040195,1.3450024,-0.013,-0.021, - ,0.0111386,-3.723,1.101588,0.0020052,-0.013,0.200116,0.0004023,-0.006
AW_N_1-3_-0000.dxf,33, - , - ,CO2 Lhyges,3759.5,3788.5,3791.7,32.2,0.000,1460,1715,1964,5.2,0.5,2.2,42.717,42.053,0.494,0.170,148021,42053,49407,56561,0.0119434,1.1748781,-0.008,-3.460, - ,0.0040194,1.3449831,-0.027,-0.035, - ,0.0111387,-3.708,1.101604,0.0020051,-0.027,0.200113,0.0004023,-0.014
