Filename,Peak Nr.,Component,Master Peak,Ref. Name,Start[s],Rt[s],End[s],Width[s],Sample Dilution[%],Ampl. 44[mV],Ampl. 45[mV],Ampl. 46[mV],BGD 44[mV],BGD 45[mV],BGD 46[mV],Area All[Vs],Area 44[Vs],Area 45[Vs],Area 46[Vs],rArea All[mVs],rArea 44[mVs],rArea 45[mVs],rArea 46[mVs],R 45CO2/44CO2,rR 45CO2/44CO2,rd 45CO2/44CO2[per mil]vs. CO2 Lhyges,d 45CO2/44CO2[per mil]vs. VPDB VSMOW,DeltaDelta 45CO2/44CO2[per mil],R 46CO2/44CO2,rR 46CO2/44CO2,rd 46CO2/44CO2[per mil]vs. CO2 Lhyges,d 46CO2/44CO2[per mil]vs. VPDB VSMOW,DeltaDelta 46CO2/44CO2[per mil],R 13C/12C,d 13C/12C[per mil]vs. VPDB,AT% 13C/12C[%],R 18O/16O,d 18O/16O[per mil]vs. VSMOW,AT% 18O/16O[%],R 17O/16O,d 17O/16O
AW_N_1-1_-0000.dxf,1, - , - ,CO2 Lhyges,37.2,65.0,69.4,32.2,0.000,1454,1709,1956,4.2,-0.7,0.8,42.373,41.715,0.490,0.168,146830,41715,49019,56096,0.0119456,1.1751048,0.180,-3.272, - ,0.0040195,1.3447446,0.002,-0.006, - ,0.0111410,-3.507,1.101823,0.0020052,0.002,0.200119,0.0004023,0.001
AW_N_1-1_-0000.dxf,2, - , - ,CO2 Lhyges,97.0,126.4,129.2,32.2,0.000,1439,1691,1935,4.9,0.2,1.7,42.087,41.433,0.487,0.167,145829,41433,48681,55716,0.0119439,1.1749364,0.037,-3.415, - ,0.0040195,1.3447375,-0.003,-0.011, - ,0.0111393,-3.660,1.101656,0.0020052,-0.003,0.200118,0.0004023,-0.002
AW_N_1-1_-0000.dxf,3*, - , - ,CO2 Lhyges,156.8,186.0,188.9,32.2,0.000,1443,1696,1941,5.1,0.4,2.0,42.175,41.520,0.488,0.168,146134,41520,48781,55833,0.0119435,1.1748929,0.000,-3.452, - ,0.0040195,1.3447415,0.000,-0.008, - ,0.0111388,-3.700,1.101613,0.0020052,-0.000,0.200119,0.0004023,-0.000
AW_N_1-1_-0000.dxf,4, - , - ,CO2 Lhyges,216.5,246.0,248.7,32.2,0.000,1449,1703,1949,5.1,0.5,2.1,42.306,41.648,0.489,0.168,146587,41648,48933,56006,0.0119436,1.1749064,0.012,-3.440, - ,0.0040195,1.3447317,-0.007,-0.016, - ,0.0111390,-3.687,1.101626,0.0020052,-0.007,0.200117,0.0004023,-0.004
AW_N_1-1_-0000.dxf,5, - , - ,CO2 Lhyges,1749.5,1854.7,1895.6,146.1,0.000,57,65,78,128.0,141.4,164.0,5.260,5.179,0.060,0.022,18326,5179,5954,7192,0.0116871,1.1496755,-21.464,-24.841, - ,0.0041508,1.3886436,32.647,32.639, - ,0.0108690,-27.835,1.075213,0.0020708,32.738,0.206657,0.0004091,16.761
AW_N_1-1_-0000.dxf,6, - , - ,CO2 Lhyges,1958.1,1969.4,1975.9,17.8,0.000,26,29,34,155.8,173.5,203.5,0.231,0.228,0.003,0.001,793,228,261,304,0.0116753,1.1485081,-22.457,-25.831, - ,0.0039897,1.3347493,-7.431,-7.439, - ,0.0108737,-27.416,1.075672,0.0019904,-7.386,0.198644,0.0004008,-3.818
AW_N_1-1_-0000.dxf,7, - , - ,CO2 Lhyges,1979.6,1990.5,1998.7,19.0,0.000,56,64,75,158.6,176.6,207.3,0.486,0.478,0.005,0.002,1666,478,549,639,0.0116651,1.1475080,-23.308,-26.680, - ,0.0039893,1.3346282,-7.521,-7.529, - ,0.0108636,-28.322,1.074681,0.0019902,-7.474,0.198626,0.0004008,-3.863
AW_N_1-1_-0000.dxf,8, - , - ,CO2 Lhyges,2001.2,2013.1,2020.8,19.6,0.000,43,50,58,160.1,178.5,209.4,0.403,0.397,0.005,0.002,1378,397,454,528,0.0116147,1.1425547,-27.524,-30.881, - ,0.0039728,1.3291261,-11.612,-11.620, - ,0.0108149,-32.673,1.069920,0.0019820,-11.560,0.197810,0.0003999,-5.982
AW_N_1-1_-0000.dxf,9, - , - ,CO2 Lhyges,2024.8,2040.7,2049.0,24.2,0.000,80,92,107,155.5,173.1,203.1,0.839,0.826,0.009,0.003,2874,826,946,1102,0.0116506,1.1460816,-24.522,-27.889, - ,0.0039874,1.3339972,-7.990,-7.998, - ,0.0108493,-29.601,1.073281,0.0019893,-7.941,0.198533,0.0004007,-4.105
AW_N_1-1_-0000.dxf,10, - , - ,CO2 Lhyges,2051.3,2063.5,2071.6,20.3,0.000,54,61,72,148.0,164.6,193.2,0.477,0.470,0.005,0.002,1635,470,539,627,0.0116589,1.1468941,-23.831,-27.200, - ,0.0039856,1.3333882,-8.443,-8.451, - ,0.0108577,-28.845,1.074108,0.0019884,-8.396,0.198442,0.0004006,-4.341
