"Date";"DateCheck";"sampleQ"
2016-04-19 00:08:00;"19/04/2016 00:08";2
2016-04-19 04:16:00;"19/04/2016 04:16";2
2016-04-19 09:00:00;"19/04/2016 09:00";2
2016-04-19 14:07:00;"19/04/2016 14:07";3
2016-04-19 19:29:00;"19/04/2016 19:29";3
2016-04-20 01:54:00;"20/04/2016 01:54";3
2016-04-20 09:12:00;"20/04/2016 09:12";4
2016-04-20 16:39:00;"20/04/2016 16:39";4
2016-04-21 00:20:00;"21/04/2016 00:20";4
2016-04-21 09:11:00;"21/04/2016 09:11";5
2016-04-21 19:50:00;"21/04/2016 19:50";1
2016-04-22 03:11:00;"22/04/2016 03:11";1
2016-04-22 10:24:00;"22/04/2016 10:24";1
2016-04-22 17:01:00;"22/04/2016 17:01";2
2016-04-23 06:37:00;"23/04/2016 06:37";2
2016-04-26 18:39:00;"26/04/2016 18:39";1
2016-04-27 01:55:00;"27/04/2016 01:55";1
2016-04-27 10:12:00;"27/04/2016 10:12";1
2016-04-27 23:45:00;"27/04/2016 23:45";1
2016-04-28 07:58:00;"28/04/2016 07:58";1
2016-04-28 16:16:00;"28/04/2016 16:16";1
2016-04-28 23:54:00;"28/04/2016 23:54";2
2016-04-29 07:55:00;"29/04/2016 07:55";2
2016-04-29 15:44:00;"29/04/2016 15:44";2
2016-04-29 22:49:00;"29/04/2016 22:49";3
2016-04-30 06:22:00;"30/04/2016 06:22";3
2016-04-30 14:12:00;"30/04/2016 14:12";3
2016-04-30 21:08:00;"30/04/2016 21:08";4
2016-05-01 01:33:00;"01/05/2016 01:33";4
2016-05-01 03:12:00;"01/05/2016 03:12";4
2016-05-01 05:21:00;"01/05/2016 05:21";5
2016-05-01 08:03:00;"01/05/2016 08:03";5
2016-05-01 10:46:00;"01/05/2016 10:46";5
2016-05-01 13:56:00;"01/05/2016 13:56";6
2016-05-01 17:29:00;"01/05/2016 17:29";6
2016-05-01 20:44:00;"01/05/2016 20:44";6
2016-05-01 21:56:00;"01/05/2016 21:56";7
2016-05-01 23:24:00;"01/05/2016 23:24";7
2016-05-02 01:06:00;"02/05/2016 01:06";7
2016-05-02 02:58:00;"02/05/2016 02:58";8
2016-05-02 04:54:00;"02/05/2016 04:54";8
