"","Date","C_t","delta13C_t","f_totC_tC_0","B_lab","B_max","Bstar_lab","Bstar_max","DB_lab","DB_max"
"1","2016-04-05 15:08:00",1.854480987,-31.4,0.350044904091301,46.1914990719751,38.6924638453539,0.590399505677283,0.466104872903118,0.69376835580653,1.14543991735494
"2","2016-04-14 13:52:00",5.628514952,-31.2,0.412232309761959,53.1106790453021,45.0052117426592,0.854668683785133,0.67473843456721,0.170044040424212,0.482055784537335
"3","2016-04-18 20:30:00",7.183662148,-31.8333333333333,0.526131255770643,27.4879853384007,22.4115017490796,0.500491490659034,0.395124861046606,0.998035967970657,1.5308455594295
"4","2016-04-26 11:50:00",4.223345133,-31.7666666666667,0.309317703505413,30.7413484326958,25.1729806130801,0.313044473447438,0.247140373774293,2.19443428911996,3.04628343288528
"5","2016-05-03 13:10:00",1.248904411,-30.7,0.0914697312539767,66.7581227216289,58.0836630811952,0.46048334712116,0.363539484569337,1.17163119198942,1.75073284318659
"6","2016-05-10 00:06:00",1.285325524,-29.4333333333333,0.0941372127591571,86.0819132170238,78.9196127681746,0.834523673170521,0.658834478818832,0.198288355560726,0.517831917043587
"7","2016-05-24 12:00:00",1.183860904,-29.6,0.0867059462495324,84.3936217840408,76.9254490145472,0.759637481204718,0.599713800951093,0.316417402698572,0.66746204341819
"8","2016-06-07 12:00:00",1.866402862,-29.8,0.088104143954046,82.0947451552813,74.2813736772322,0.708072889859869,0.559004913047265,0.412283981382064,0.788893043083948
"9","2016-06-14 13:06:00",1.300052437,-29.45,0.0613693910298217,85.9216611290794,78.7282241308392,0.70248740525484,0.554595319938032,0.42351306588512,0.803116550121152
"10","2016-06-28 08:56:00",0.356517638,-29.5,0.0168295291118711,85.4297316520925,78.1435489246446,0.471570679792766,0.372292641941658,1.1205728915111,1.68605899591406
"11","Median Early",NA,NA,NA,53.1106790453021,45.0052117426592,0.590399505677283,0.466104872903118,0.69376835580653,1.14543991735494
"12","Median Late",NA,NA,NA,85.4297316520925,78.1435489246446,0.70248740525484,0.554595319938032,0.42351306588512,0.803116550121152
"13","Median",NA,NA,NA,74.4264339384551,66.1825183792137,0.646443455466062,0.510350096420575,0.558640710845825,0.974278233738045
