"Date";"DateCheck";"Q.m3Hrs";"Qna"
2016-03-25 03:12:00;"25/03/2016 03:12";1,206;1,206
2016-03-25 03:14:00;"25/03/2016 03:14";1,15;1,15
2016-03-25 03:16:00;"25/03/2016 03:16";1,207;1,207
2016-03-25 03:18:00;"25/03/2016 03:18";1,187;1,187
2016-03-25 03:20:00;"25/03/2016 03:20";1,22;1,22
2016-03-25 03:22:00;"25/03/2016 03:22";1,226;1,226
2016-03-25 03:24:00;"25/03/2016 03:24";1,213;1,213
2016-03-25 03:26:00;"25/03/2016 03:26";1,209;1,209
2016-03-25 03:28:00;"25/03/2016 03:28";1,227;1,227
2016-03-25 03:30:00;"25/03/2016 03:30";1,193;1,193
2016-03-25 03:32:00;"25/03/2016 03:32";1,192;1,192
2016-03-25 03:34:00;"25/03/2016 03:34";1,21;1,21
2016-03-25 03:36:00;"25/03/2016 03:36";1,221;1,221
2016-03-25 03:38:00;"25/03/2016 03:38";1,186;1,186
2016-03-25 03:40:00;"25/03/2016 03:40";1,266;1,266
2016-03-25 03:42:00;"25/03/2016 03:42";1,2;1,2
2016-03-25 03:44:00;"25/03/2016 03:44";1,199;1,199
2016-03-25 03:46:00;"25/03/2016 03:46";1,207;1,207
2016-03-25 03:48:00;"25/03/2016 03:48";1,211;1,211
2016-03-25 03:50:00;"25/03/2016 03:50";1,221;1,221
2016-03-25 03:52:00;"25/03/2016 03:52";1,227;1,227
2016-03-25 03:54:00;"25/03/2016 03:54";1,229;1,229
2016-03-25 03:56:00;"25/03/2016 03:56";1,199;1,199
2016-03-25 03:58:00;"25/03/2016 03:58";1,225;1,225
2016-03-25 04:00:00;"25/03/2016 04:00";1,196;1,196
2016-03-25 04:02:00;"25/03/2016 04:02";1,228;1,228
2016-03-25 04:04:00;"25/03/2016 04:04";1,221;1,221
2016-03-25 04:06:00;"25/03/2016 04:06";1,204;1,204
2016-03-25 04:08:00;"25/03/2016 04:08";1,211;1,211
2016-03-25 04:10:00;"25/03/2016 04:10";1,221;1,221
2016-03-25 04:12:00;"25/03/2016 04:12";1,221;1,221
2016-03-25 04:14:00;"25/03/2016 04:14";1,222;1,222
2016-03-25 04:16:00;"25/03/2016 04:16";1,218;1,218
2016-03-25 04:18:00;"25/03/2016 04:18";1,199;1,199
2016-03-25 04:20:00;"25/03/2016 04:20";1,219;1,219
2016-03-25 04:22:00;"25/03/2016 04:22";1,182;1,182
2016-03-25 04:24:00;"25/03/2016 04:24";1,207;1,207
2016-03-25 04:26:00;"25/03/2016 04:26";1,193;1,193
2016-03-25 04:28:00;"25/03/2016 04:28";1,219;1,219
2016-03-25 04:30:00;"25/03/2016 04:30";1,206;1,206
2016-03-25 04:32:00;"25/03/2016 04:32";1,242;1,242
2016-03-25 04:34:00;"25/03/2016 04:34";1,248;1,248
2016-03-25 04:36:00;"25/03/2016 04:36";1,197;1,197
2016-03-25 04:38:00;"25/03/2016 04:38";1,225;1,225
2016-03-25 04:40:00;"25/03/2016 04:40";1,267;1,267
2016-03-25 04:42:00;"25/03/2016 04:42";1,164;1,164
2016-03-25 04:44:00;"25/03/2016 04:44";1,217;1,217
2016-03-25 04:46:00;"25/03/2016 04:46";1,231;1,231
2016-03-25 04:48:00;"25/03/2016 04:48";1,161;1,161
2016-03-25 04:50:00;"25/03/2016 04:50";1,197;1,197
2016-03-25 04:52:00;"25/03/2016 04:52";1,191;1,191
2016-03-25 04:54:00;"25/03/2016 04:54";1,205;1,205
2016-03-25 04:56:00;"25/03/2016 04:56";1,194;1,194
2016-03-25 04:58:00;"25/03/2016 04:58";1,199;1,199
2016-03-25 05:00:00;"25/03/2016 05:00";1,207;1,207
2016-03-25 05:02:00;"25/03/2016 05:02";1,195;1,195
2016-03-25 05:04:00;"25/03/2016 05:04";1,255;1,255
2016-03-25 05:06:00;"25/03/2016 05:06";1,207;1,207
2016-03-25 05:08:00;"25/03/2016 05:08";1,258;1,258
2016-03-25 05:10:00;"25/03/2016 05:10";1,206;1,206
2016-03-25 05:12:00;"25/03/2016 05:12";1,25;1,25
