"Date","DB_lab","DB_max","Transect"
2016-04-05 15:08:00,0.69376835580653,1.14543991735494,"N"
2016-04-14 13:52:00,0.170044040424212,0.482055784537335,"N"
2016-04-18 20:30:00,0.998035967970657,1.5308455594295,"N"
2016-04-26 11:50:00,2.19443428911996,3.04628343288528,"N"
2016-05-03 13:10:00,1.17163119198942,1.75073284318659,"N"
2016-05-10 00:06:00,0.198288355560726,0.517831917043587,"N"
2016-05-24 12:00:00,0.316417402698572,0.66746204341819,"N"
2016-06-07 12:00:00,0.412283981382064,0.788893043083948,"N"
2016-06-14 13:06:00,0.42351306588512,0.803116550121152,"N"
2016-06-28 08:56:00,1.1205728915111,1.68605899591406,"N"
2016-04-05 15:08:00,-0.260262889535065,-0.0629996600777492,"T"
2016-04-14 13:52:00,2.28776071104459,3.16449690065648,"T"
2016-04-18 20:30:00,0.01372031170392,0.284045728158299,"T"
2016-04-26 11:50:00,-0.199313901519238,0.0142023914089645,"T"
2016-05-03 13:10:00,0.0614831134955556,0.344545277094371,"T"
2016-05-10 00:06:00,-0.157226806996318,0.0675127111379971,"T"
2016-05-31 12:00:00,0.776050154541509,1.24966352908591,"T"
2016-06-07 12:00:00,0.146918706917773,0.452763695429179,"T"
2016-06-14 13:06:00,0.171237519294316,0.483567524439467,"T"
2016-06-21 12:00:00,-0.0322433395862463,0.225825103190755,"T"
2016-06-28 08:56:00,0.125332851783816,0.4254216122595,"T"
2016-04-05 15:08:00,0.10792736364718,0.403374660619761,"S"
2016-04-14 13:52:00,1.08397083088296,1.63969638578508,"S"
2016-04-18 20:30:00,0.574430726057336,0.994278919672625,"S"
2016-04-26 11:50:00,0.811950044352507,1.29513672284651,"S"
2016-05-03 13:10:00,0.843352114056903,1.33491267780541,"S"
2016-05-10 00:06:00,1.56306422706746,2.24654802095212,"S"
2016-05-17 09:16:00,0.281535831049889,0.623278719329859,"S"
2016-05-31 12:00:00,0.143612551023225,0.448575897962752,"S"
2016-06-07 12:00:00,-0.0437862974000474,0.211204023293273,"S"
2016-06-14 13:06:00,-0.00318382084396288,0.26263382693098,"S"
2016-06-21 12:00:00,0.117872324181739,0.415971610630203,"S"
