Filename;ID;Week;Wnum;SubWeek;WeekSubWeek;ID4;Conc.mug/L;Conc.SD
AO_W0_1;AO;W0;0;1;W0-1;;0,245659365;0,01931
AO_W1_1;AO;W1;1;1;W1-1;;6,788246322;0,28942
AO_W1_2;AO;W1;1;2;W1-2;;6,560998197;0,19064
AO_W2_1;AO;W2;2;1;W2-1;;9,444301877;0,33354
AO_W2_2;AO;W2;2;2;W2-2;;1,042188295;0,03904
AO_W3_1;AO;W3;3;1;W3-1;;8,8357358;0,47086
AO_W3_2;AO;W3;3;2;W3-2;;10,73573241;0,9381
AO_W3_3;AO;W3;3;3;W3-3;;0,871835608;0,0188
AO_W4_1;AO;W4;4;1;W4-1;;0,501218996;0,00929
AO_W5_1;AO;W5;5;1;W5-1;;3,586989839;0,07715
AO_W5_2;AO;W5;5;2;W5-2;;0,813034214;0,01884
AO_W6_1;AO;W6;6;1;W6-1;;0,143494568;0,00215
AO_W6_2;AO;W6;6;2;W6-2;;0,041090858;0,00254
AO_W6_3;AO;W6;6;3;W6-3;;8,922689085;0,15285
AO_W6_3_J+7;AO;W6;6;3;W6-3;J+7;10,19227565;0,1698
AO_W6_4;AO;W6;6;4;W6-4;;0,021934117;0,00023
AO_W7_1;AO;W7;7;1;W7-1;;0,188811426;0,00405
AO_W8_1;AO;W8;8;1;W8-1;;0,25050556;0,01209
AO_W9_1;AO;W9;9;1;W9-1;;0,18378898;0,00574
AO_W9_2;AO;W9;9;2;W9-2;;26,73670211;1,16699
AO_W9_3;AO;W9;9;3;W9-3;;12,18629264;0,24303
AO_W9_4;AO;W9;9;4;W9-4;;12,5765701;0,18288
AO_W10_1;AO;W10;10;1;W10-1;;0,513993882;0,00136
AO_W10_2;AO;W10;10;2;W10-2;;3,388018252;0,03206
AO_W10_3;AO;W10;10;3;W10-3;;3,333898457;0,04514
AO_W10_4;AO;W10;10;4;W10-4;;5,179724598;0,13682
AO_W10_5;AO;W10;10;5;W10-5;;5,525509132;0,06243
AO_W11_1;AO;W11;11;1;W11-1;;0,746468893;0,0015
AO_W11_2;AO;W11;11;2;W11-2;;4,459848052;
AO_W11_3;AO;W11;11;3;W11-3;;3,123106254;0,147
AO_W12_1;AO;W12;12;1;W12-1;;0,018969085;
AO_W12_2;AO;W12;12;2;W12-2;;0,010987175;
AO_W12_3;AO;W12;12;3;W12-3;;0,024591845;
AO_W12_4;AO;W12;12;4;W12-4;;0,027985134;
AO_W13_1;AO;W13;13;1;W13-1;;6,799778499;
AO_W13_2;AO;W13;13;2;W13-2;;16,81170823;
AO_W13_3;AO;W13;13;3;W13-3;;1,018867237;
AO_W14_1;AO;W14;14;1;W14-1;;0,148914686;
AO_W15_1;AO;W15;15;1;W15-1;;0,167251535;0,00085
AO_W16_1;AO;W16;16;1;W16-1;;0,045876;0,0159
AO_W17_1;AO;W17;17;1;W17-1;;0,022301625;0,01505
