"WeekSubWeek";"ti";"tf";"iflux";"fflux";"changeflux";"maxQ";"minQ";"dryHrsIni";"dryHrsMax";"dryHrsAve";"noEventHrsIni";"noEventHrsMax";"noEventHrsAve";"Duration.Hrs";"chExtreme";"Event";"Markers";"TimeDiff"
"W13-1";2016-06-21 12:00:00;2016-06-24 14:50:00;10,9696092405578;6,29065316945106;-4,67895607110674;11,2744053307495;5,93515099628816;4,33333333333333;31,0666666666667;13,4774562184625;6,01666666666667;43,4333333333333;24,725;74,8333333333333;-5,03445824426964;NA;NA;NA
"W13-2";2016-06-24 14:52:00;2016-06-25 07:48:00;6,41472253556085;37,9025646875413;31,4878421519805;247,752551635421;5,85608025318542;31,0833333333333;32,15;5,37914210870989;43,45;49,5666666666667;33,6248853962017;16,9333333333333;241,33782909986;18;72,0394204168723;156.333333333333
"W13-3";2016-06-25 07:50:00;2016-06-28 08:54:00;37,5138517500331;8,23549776969058;-29,2783539803425;38,5453935211607;8,05875315952984;0,316666666666667;26,1333333333333;9,86936464508284;0;29,7166666666667;12,087224502204;73,0666666666667;-29,4550985905033;NA;NA;NA
"W14-1";2016-06-28 08:56:00;2016-07-04 14:40:00;8,23239821575246;4,1239733640751;-4,10842485167736;14,7713697139681;3,59759130381585;1,65;72,6833333333333;35,3442132205653;29,7333333333333;104,6;67,1666666666667;149,733333333333;-4,63480691193661;NA;NA;NA
"W15-1";2016-07-04 14:42:00;2016-07-12 10:20:00;4,09777869126008;2,14905768871767;-1,94872100254241;4,51666331105987;1,94248256801407;72,7;84,1166666666667;38,0001924215512;104,616666666667;198,433333333333;151,525;187,633333333333;-2,15529612324601;NA;NA;NA
"W2-1";2016-04-05 15:08:00;2016-04-06 14:50:00;5,87010384062002;14,1442199697064;8,27411612908638;19,1639337349349;5,87010384062002;0,516666666666667;5,85;2,13349719101124;54,45;55,1166666666667;7,15051498127341;23,7;13,2938298943149;2;14,1107970978894;136
"W2-2";2016-04-06 14:52:00;2016-04-08 00:36:00;14,0253759757651;8,06118184572568;-5,96419413003942;14,316238838125;7,6599467300627;5,86666666666667;12,2833333333333;4,79378084896347;9,68333333333333;26,55;18,1166666666667;33,7333333333333;-6,3654292457024;NA;NA;NA
"W2-3x";2016-04-08 00:38:00;2016-04-14 13:50:00;8,06114547658054;4,64225281420218;-3,41889266237836;8,06581310501155;4,27978068826177;6,01666666666667;54,0166666666667;23,3338418320176;26,5666666666667;104,666666666667;65,6166666666667;157,2;-3,78136478831877;NA;NA;NA
"W3-1";2016-04-14 13:52:00;2016-04-16 18:30:00;4,66140225136175;23,7885730891726;19,1271708378109;32,594246195365;3,62027978020054;27,6;29,4333333333333;3,55566455696203;104,683333333333;125,866666666667;92,8036708860759;52,6333333333333;27,9328439440033;3;16,9048084951297;256
"W3-2";2016-04-16 18:32:00;2016-04-17 09:00:00;23,7524584713381;79,9810226532562;56,2285641819181;79,9810226532562;19,8333796266195;0,316666666666667;1,38333333333333;0,249272030651341;0;0;0;14,4666666666667;56,2285641819181;4;67,2779591935531;19
"W3-2.1x";2016-04-17 09:02:00;2016-04-18 20:28:00;80,051818122605;18,6875377568462;-61,3642803657588;83,6282317414948;18,4765728616059;0,0833333333333333;5,26666666666667;2,13847117794486;0;0;0;35,4333333333333;-61,5752452609991;NA;NA;NA
"W3-3";2016-04-18 20:30:00;2016-04-21 09:10:00;18,669630205477;6,44987591658121;-12,2197542888958;18,8789041643816;6,30149765799847;4,8;35,1333333333333;19,9666666666667;0;30,0666666666667;14,9012538898041;60,6666666666667;-12,3681325474785;NA;NA;NA
"W4-1";2016-04-21 09:12:00;2016-04-23 06:36:00;6,38330073326497;7,26633998353306;0,88303925026809;8,26383188924855;6,0459800710562;35,15;57,85;46,5;30,0833333333333;52,7833333333333;41,4333333333333;45,4;1,88053115598358;NA;NA;NA
"W4-2x";2016-04-23 06:38:00;2016-04-26 11:48:00;7,29887198682645;7,76030572537674;0,46143373855029;7,98674227467689;4,82164374089334;57,8666666666667;58,8166666666667;5,17696459412781;52,8;91,3833333333333;72,0916666666667;77,1666666666667;0,68787028785044;NA;NA;NA
"W5-1";2016-04-26 11:50:00;2016-05-01 10:44:00;7,6838445803014;17,6291371224501;9,9452925421487;32,4655416104866;5,53177724734016;1,28333333333333;16,75;3,75931894618834;91,4;145,866666666667;108,694506726457;118,9;24,7816970301852;5;12,8017687826134;333.333333333333
"W5-2";2016-05-01 10:46:00;2016-05-03 12:00:00;17,6865096979601;8,92986333116901;-8,75664636679109;48,5316537008299;8,66866077869038;1,18333333333333;18,8666666666667;7,82892422192152;0,1;9,61666666666667;2,35666441136671;49,2333333333333;-9,01784891926972;6;28,1826797538634;20.3333333333333
"W5-3x";2016-05-03 12:02:00;2016-05-03 13:08:00;8,88049066493521;12,9427814643907;4,06229079945549;12,9614710381104;8,88049066493521;0;0,0833333333333333;0,0200980392156863;9,63333333333333;10,1833333333333;9,90833333333333;1,1;4,08098037317519;NA;NA;NA
"W6-1";2016-05-03 13:10:00;2016-05-10 00:04:00;12,7962251715125;3,72054316224694;-9,07568200926556;15,2299207267172;3,45947090680989;0,1;70,3333333333333;32,1899419104991;10,2;87,65;48,925;154,9;-9,33675426470261;NA;NA;NA
"W6-2";2016-05-10 00:06:00;2016-05-12 06:32:00;3,71423452979755;17,3764507301097;13,6622162003121;91,2185771483047;3,04703475455025;70,35;70,6;2,96295389636883;87,6666666666667;107,233333333333;70,1572623419013;54,4333333333333;87,5043426185072;7;16,6609657017082;234.333333333333
"W6-3";2016-05-12 06:34:00;2016-05-12 09:10:00;17,3665605840878;365,097329706104;347,730769122016;921,403101980793;16,7500313550041;2,56666666666667;2,91666666666667;0,84535864978903;0,3;0,8;0,215822784810127;2,6;904,036541396705;8;52,0494662166218;16.6666666666667
"W6-4";2016-05-12 09:12:00;2016-05-12 12:50:00;347,869063764883;125,436190695568;-222,432873069315;347,869063764883;123,868422961824;0;0,8;0,258636363636364;0;0;0;3,63333333333333;-224,000640803059;NA;NA;NA
"W6-5x";2016-05-12 12:52:00;2016-05-13 12:04:00;124,957952556454;32,7348788161411;-92,2230737403129;197,670266787168;32,7348788161411;0,166666666666667;5,56666666666667;1,53180296508847;0;0;0;23,2;-92,2230737403129;NA;NA;NA
"W7-1";2016-05-13 12:06:00;2016-05-16 15:10:00;32,7727030529129;10,3202277472861;-22,4524753056268;136,754012744175;9,03606433868172;5,58333333333333;21,6166666666667;7,09641958869655;0;15,7;3,28604823198698;75,0666666666667;-23,7366387142312;9;39,0250354706871;35.3333333333333
"W7-2x";2016-05-16 15:12:00;2016-05-17 09:14:00;10,1777821978289;7,43412490026084;-2,74365729756806;10,8236449438807;7,42490612532605;0,233333333333333;6,48333333333333;2,50150676506765;15,7166666666667;24,7333333333333;20,225;18,0333333333333;-2,75287607250285;NA;NA;NA
"W8-1";2016-05-17 09:16:00;2016-05-23 18:00:00;7,37349992020867;4,42157725975117;-2,9519226604575;7,77175824442973;3,45590402098428;6,5;31,6833333333333;11,4960433486072;24,75;101,116666666667;62,9333333333333;152,733333333333;-3,91759589922439;NA;NA;NA
"W8-2x";2016-05-23 18:02:00;2016-05-24 11:58:00;4,37166180780094;4,56967918960667;0,198017381805729;5,07686820650729;3,83485125811054;0,15;6,15;2,39279529993816;101,133333333333;110,1;105,616666666667;17,9333333333333;0,705206398706349;NA;NA;NA
"W9-1";2016-05-24 12:00:00;2016-05-29 12:08:00;4,53054335168533;3,77969936227555;-0,75084398940978;5,11676366158044;3,03917897069829;2,18333333333333;32,6833333333333;12,5747434119279;110,116666666667;170,183333333333;140,15;120,133333333333;-1,49136438098704;NA;NA;NA
"W9-2";2016-05-29 12:10:00;2016-05-30 05:46:00;3,75775948982044;36,5208837535871;32,7631242637667;185,627883896231;3,67039218303232;3,85;6,31666666666667;1,70529300567108;170,2;172,883333333333;53,7809073724008;17,6;181,870124406411;10;38,0704847621807;382.333333333333
"W9-3";2016-05-30 05:48:00;2016-05-30 12:10:00;37,3219070028697;186,487595747524;149,165688744654;186,487595747524;37,3219070028697;0;0,166666666666667;0,0241319444444444;0;0;0;6,36666666666667;149,165688744654;NA;NA;NA
"W9-4";2016-05-30 12:12:00;2016-05-30 17:26:00;187,005876598019;65,8727075257356;-121,133169072283;187,005876598019;65,4833844071695;0,0833333333333333;1,9;0,729113924050633;0;0;0;5,23333333333333;-121,52249219085;NA;NA;NA
"W9-5x";2016-05-30 17:28:00;2016-05-31 11:58:00;65,2019660205885;34,4106644552236;-30,7913015653649;65,5579382531767;34,2696579323942;1,91666666666667;9;4,43345323741007;0;0;0;18,5;-30,9323080881943;NA;NA;NA
NA;2016-08-12 07:36:00;2016-09-30 23:58:00;2,12064615097414;1,66039406685855e-06;-2,12064449058007;2,12064615097414;1,66039406685855e-06;9,13333333333333;155,966666666667;42,9887234277511;198,45;701,516666666667;449,983333333333;1192,36666666667;-2,12064449058007;NA;NA;NA
