"ID";"Transect";"Wnum";"Date.Soil";"Date.ti";"Conc.mug.g.dry.soil";"Conc.ComSoil.SD";"N_compsoil";"comp.d13C";"comp.d13C.SD";"comp.d13C.SE";"DD13C.comp";"f.comp";"B.comp";"f.min.comp";"B.min.comp";"MassSoil.g"
"AW-T-6";"T";6;"10/05/2016 00:06";2016-05-10 00:06:00;1,824391912;"0,079547936";3;-28,673;0,799172697231329;0,461402571875507;2,5414;0,174371657886075;82,5628342113925;0,269840369303971;73,0159630696029;1184,49533365461
"AW-N-7";"N";7;"17/05/2016 09:16";2016-05-17 09:16:00;0,509102396;"0,019651624";3;-26,6776666666667;1,29951234443284;0,750273801873541;4,53673333333333;0,0443939896316444;95,5606010368356;0,0967148432352928;90,3285156764707;701,917989419342
"AW-S-7";"S";7;"17/05/2016 09:16";2016-05-17 09:16:00;1,52545413;"0,034715701";3;-26,0533333333333;0,462343306789807;0,266934032633117;5,16106666666667;0,0289511747052175;97,1048825294783;0,07018586271467;92,981413728533;1669,33838055885
"AW-T-7";"T";7;"17/05/2016 09:16";2016-05-17 09:16:00;0,735593224;"0,026513718";3;-30,1176666666667;1,50761312455594;0,870420843296187;1,09673333333334;0,470346034319942;52,9653965680058;0,567953937810375;43,2046062189625;477,587483021001
"AW-N-8";"N";8;"24/05/2016 12:00";2016-05-24 12:00:00;0,717395225;"0,016946998";3;-25,3476666666667;0,313689868075674;0,181108929775548;5,86673333333334;0,0178634499763922;98,2136550023608;0,0488623110026682;95,1137688997332;989,098888371833
"AW-S-8";"S";8;"24/05/2016 12:00";2016-05-24 12:00:00;1,067624598;"0,037581092";3;-27,036;1,38050244476423;0,797033458101562;4,1784;0,0567460383868641;94,3253961613136;0,116265713365491;88,3734286634509;1168,32534156246
"AW-T-8";"T";8;"24/05/2016 12:00";2016-05-24 12:00:00;0,58580618;"0,016495406";3;-29,774;0,407714360796869;0,235393995958548;1,4404;0,371401924915739;62,8598075084261;0,475754727739744;52,4245272260256;380,337515241097
"AW-N-9";"N";9;"31/05/2016 12:00";2016-05-31 12:00:00;0,858629771;"0,030424364";2;-29,2275;2,18283863352287;1,5435;1,9869;0,255156393849073;74,4843606150927;0,359008591345158;64,0991408654842;1274,63168776362
"AW-S-9";"S";9;"31/05/2016 12:00";2016-05-31 12:00:00;1,037451818;"0,015792484";3;-24,914;0,604083603485478;0,34876783108538;6,3004;0,0132791177560408;98,6720882243959;0,039118024702496;96,0881975297504;1196,75252390486
"AW-T-9";"T";9;"31/05/2016 12:00";2016-05-31 12:00:00;1,876356656;"#DIV/0!";3;-29,3386666666667;0,835028342832345;0,482103838515221;1,87573333333333;0,275399686154682;72,4600313845318;0,380165393760957;61,9834606239043;1218,23369676491
