"Events";"Date.ti.x";"P.Cum";"P.Int";"Q.Max";"Q.Ave";"T.Hrs";"Vol";"Q.Ini";"SSM";"Date.ti.y";"DD13C.diss";"DD.diss.nrm";"SM.g.nrm";"TP.g.nrm";"PC1";"PC2";"Cluster";"CompareLutz";"QuantPCA";"Quantif";"Label";"EventLabel"
"15-3";2016-06-14 13:06:00;6,2;0,325174825174825;405,049675077593;55,9093116569973;19,1;1066,00420892675;405,049675077593;1753,5769236845;2016-06-14 13:06:00;NA;NA;0,00024685934107797;0,0101609699831142;0,266164622107785;0,166953807309742;3;NA;NA;NA;NA;NA
"15-4";2016-06-15 08:14:00;2,4;0,0997229916897507;30,6820063606051;24,9986174885763;24,1;601,63339422507;29,4718865015879;20,3051270550961;2016-06-15 08:14:00;NA;NA;4,94507714096297e-06;0,000854059060618009;-0,0735000565805557;0,0511205707818045;1;NA;NA;NA;NA;NA
"16-1";2016-06-16 08:22:00;18,6;1,13184584178499;824,618914936738;68,2312518848933;16,4333333333333;1121,26690597508;19,5061438508537;2670,85777003264;2016-06-16 08:22:00;NA;NA;0,000183791598477145;0,00395009201478308;0,321197853739574;-0,120234732803189;2;NA;NA;NA;NA;NA
"16-2";2016-06-17 00:50:00;0,6;0,0586319218241042;339,928645120242;95,6752931486318;10,2333333333333;979,077166554332;334,183508000378;69,5144788253576;2016-06-17 00:50:00;NA;NA;2,27292912629346e-05;0,00414304030015457;0,132963389102197;0,277552666113923;3;NA;NA;NA;NA;NA
"17-1";2016-06-17 11:06:00;13;0,121344119477287;83,1555629335171;33,1648814542001;96,8666666666667;3553,0642997933;55,0414086743892;152,105595111131;2016-06-17 11:06:00;NA;NA;0,00941249657023009;0,170483019351426;-0,0122913401300524;0,0615240917303963;1;NA;NA;NA;NA;NA
"17-2";2016-06-21 12:00:00;0,4;0,00534521158129176;11,2744053307495;8,14612714188196;74,8333333333333;609,601847784166;10,9696092405578;234,696711396904;2016-06-21 12:00:00;1,64127666666667;0,477793719991419;0,00337777439633648;0,058383426690095;-0,125301521437972;0,027332399975925;1;NA;NA;"17-2";NA;NA
"18-1";2016-06-24 14:52:00;24;1,41732283464567;247,752551635421;35,0030203817473;16,9333333333333;592,717811797588;6,41472253556085;472,136781960016;2016-06-24 14:52:00;3,267525;0,944232227586755;0,00804587427659443;0,0463872003342829;0,123362031874463;-0,144661506482484;2;NA;"18-1";"18-1";"G";"G-1"
"18-2";2016-06-25 07:50:00;2,6;0,0355839416058394;38,5453935211607;13,7898774031348;73,0666666666667;1007,58037558905;37,5138517500331;66,7521998827746;2016-06-25 07:50:00;NA;NA;0,00082501203674512;0,207110881601267;-0,0919530923854526;0,0637153720630044;1;NA;NA;NA;NA;NA
"18-3";2016-06-28 08:56:00;1;0,00667853962600178;14,7713697139681;6,28554710543688;149,733333333333;941,155919920749;8,23239821575246;50,8586179817807;2016-06-28 08:56:00;NA;NA;0,000115110384034235;0,0113011261835099;-0,168301011823321;0,0331109234529409;1;NA;NA;NA;NA;NA
"18-4";2016-07-04 14:42:00;7,2;0,0383727127376088;4,51666331105987;2,70409320708855;187,633333333333;507,378022090048;4,09777869126008;25,3689011045024;2016-07-04 14:42:00;NA;NA;6,96151449018286e-05;0,0363083548298934;-0,193270467955569;-0,033575931960147;1;NA;NA;NA;NA;NA
"2-1";2016-04-05 15:08:00;5,4;0,227848101265823;19,1639337349349;14,6057392958147;23,7;346,156021310809;5,87010384062002;7,7885104794932;2016-04-05 15:08:00;1,11;1,42589219120525;0,000280236576131722;0,00567266558097348;-0,099080680036043;-0,0269143674544331;1;NA;NA;"2-1";NA;NA
"2-2";2016-04-06 14:52:00;0,8;0,0237154150197628;14,316238838125;10,5655678384347;33,7333333333333;356,411821749864;14,0253759757651;1,78205910874932;2016-04-06 14:52:00;0,969823999999999;1,16980347466711;2,89223030329313e-05;0,00200085125255336;-0,141367051689697;0,0458208417149818;1;NA;NA;"2-2";NA;NA
"2-3";2016-04-08 00:38:00;5,4;0,227848101265823;8,06581310501155;14,6057392958147;157,2;346,156021310809;8,06114547658054;52,2079309207542;2016-04-08 00:38:00;NA;NA;0,000122154600616377;0,00171119945441266;-0,131397397062278;-0,0373136452053296;1;NA;NA;NA;NA;NA
"3-1";2016-04-14 13:52:00;20;0,379987333755542;32,594246195365;9,87330254521857;52,6333333333333;519,664823963337;4,66140225136175;102,633802732759;2016-04-14 13:52:00;1,29;1,36721620625917;0,000302589755191602;0,00227452064539393;-0,0672652765791602;-0,0980326480984967;1;NA;NA;"3-1";NA;NA
"4-1";2016-04-16 18:32:00;12,4;0,857142857142857;79,9810226532562;48,7382907874278;14,4666666666667;705,080606724789;23,7524584713381;37,0167318530514;2016-04-16 18:32:00;1,43666666666667;1,48843720276124;0,000440910988533229;0,0137033713080366;0,0302317499677896;-0,0347560976583979;1;NA;NA;"4-1";NA;NA
"4-2";2016-04-17 09:02:00;1,2;0,0338664158043274;83,6282317414948;50,4075455687542;35,4333333333333;1786,10736465286;80,051818122605;59,9805605350615;2016-04-17 09:02:00;NA;NA;0,000541289396703809;0,0168466664376805;-0,0143817633903938;0,143497605357148;1;NA;NA;NA;NA;NA
"4-3";2016-04-18 20:30:00;0;0;18,8789041643816;9,94338332272586;60,6666666666667;603,231921578702;18,669630205477;82,9443892170715;2016-04-18 20:30:00;0,800000000000001;0,721152145326924;2,49983868090644e-05;0,000785688205614982;-0,134646909849901;0,0745615315440601;1;NA;NA;"4-3";NA;NA
"4-4";2016-04-21 09:12:00;0;0;8,26383188924855;7,09895752109559;45,4;322,29267145774;6,38330073326497;78,155972828502;2016-04-21 09:12:00;NA;NA;1,14341125195732e-05;9,04190888870654e-05;-0,155547621021411;0,0409923146334723;1;NA;NA;NA;NA;NA
"4-5";2016-04-23 06:38:00;6,8;0,0881209503239741;7,98674227467689;6,30793958403137;77,1666666666667;486,762671234421;7,29887198682645;50,6852446119225;2016-04-23 06:38:00;NA;NA;6,44134451896063e-05;0,000151309737487983;-0,137818790392082;-0,0285132919386136;1;NA;NA;NA;NA;NA
"5-1";2016-04-26 11:50:00;30,4;0,255677039529016;32,4655416104866;7,80976161323569;118,9;928,580655813724;7,6838445803014;23,2145163953431;2016-04-26 11:50:00;0,823383333333332;0,559570880650228;0,000256603217489918;0,00032857308565516;-0,105638773892725;-0,0866914035327324;1;NA;NA;"5-1";NA;NA
"6-1";2016-05-01 10:46:00;9,2;0,186865267433988;48,5316537008299;18,3314171260427;49,2333333333333;902,516769838838;17,6865096979601;94,764260833078;2016-05-01 10:46:00;1,62014666666667;1,04844289924216;6,53473649682058e-05;0,00201535385972915;-0,0555377588436404;-0,0112641948882848;1;NA;NA;"6-1";NA;NA
"6-2";2016-05-03 12:02:00;2,4;2,18181818181818;12,9614710381104;12,1184644687004;1,1;13,3303109155705;8,88049066493521;56,0569675267217;2016-05-03 12:02:00;NA;NA;8,30108531225879e-07;1,8658565878225e-05;0,00406676526920517;-0,113119139917801;1;NA;NA;NA;NA;NA
"6-3";2016-05-03 13:10:00;0,4;0,0025823111684958;15,2299207267172;5,89503388276492;154,9;913,140748440286;12,7962251715125;17,3496742203654;2016-05-03 13:10:00;NA;NA;1,68300171212915e-05;0,000182231204493609;-0,179317355445733;0,0573237955587807;1;NA;NA;NA;NA;NA
"7-1";2016-05-10 00:06:00;24,4;0,448254745866503;91,2185771483047;9,02299961404075;54,4333333333333;491,151945657618;3,71423452979755;809,172830470926;2016-05-10 00:06:00;NA;NA;1,34959316960592e-05;0,00146922972643419;0,0172557760953729;-0,147575054714129;1;NA;NA;NA;NA;NA
"8-1";2016-05-12 06:34:00;10,8;4,15384615384615;921,403101980793;258,243890821744;2,6;671,434116136534;17,3665605840878;6439,37290396112;2016-05-12 06:34:00;1,69666666666667;0,909854540191838;0,00250757167105298;0,0227819423650741;0,577991659204041;-0,213069194305875;2;"8-1";"8-1";"8-1";"A";"A-1"
"8-2";2016-05-12 09:12:00;2;0,55045871559633;347,869063764883;179,150849138001;3,63333333333333;650,914751868072;347,869063764883;276,638769543931;2016-05-12 09:12:00;1,9845;1,06110753848435;1,04749726138306e-05;0,00124370922158368;0,243070194012015;0,220602478188975;3;"8-2";"8-2";"8-2";"A";"A-2"
"8-3";2016-05-12 12:52:00;6;0,258620689655172;197,670266787168;113,246227023873;23,2;2627,31246695385;124,957952556454;257,066984580706;2016-05-12 12:52:00;NA;NA;0,000110395921961456;0,00424142219202054;0,126490966088292;0,133315671505843;3;"8-3";NA;NA;NA;NA
"9-1";2016-05-13 12:06:00;9,4;0,125222024866785;136,754012744175;26,1470281275211;75,0666666666667;1962,77024477258;44,8868083333333;237,495199617482;2016-05-13 12:06:00;NA;NA;0,00016199191721244;0,00244705176019522;0,00283843895253867;0,0404923277787082;1;NA;NA;NA;NA;NA
"9-2";2016-05-16 15:12:00;1,6;0,0885608856088561;10,8236449438807;8,89870647842862;18,0333333333333;160,769963710277;10,1777821978289;125,865597821317;2016-05-16 15:12:00;NA;NA;1,83392606665127e-05;0,00315428555935638;-0,0995225679070639;-0,00810395915526796;1;NA;NA;NA;NA;NA
"9-3";2016-05-17 09:16:00;15,6;0,102116517564914;7,77175824442973;5,25001927828275;152,733333333333;802,027945078995;7,37349992020867;14,2359960251522;2016-05-17 09:16:00;NA;NA;0,000113882453769406;0,0351375517926176;-0,160367990684842;-0,0471690078548929;1;NA;NA;NA;NA;NA
"9-4";2016-05-23 18:02:00;0,6;0,0333951762523191;5,07686820650729;4,34815795108027;17,9333333333333;78,1219045210755;4,37166180780094;9,94448808122187;2016-05-23 18:02:00;NA;NA;1,14302165172773e-05;0,00310568717214666;-0,158005632382992;0,00363102395925179;1;NA;NA;NA;NA;NA
"9-5";2016-05-24 12:00:00;11,8;0,0982241953385128;5,11676366158044;3,98854631501369;120,133333333333;479,157363976978;4,53054335168533;5,65298013729159;2016-05-24 12:00:00;1,70833333333334;0,688599994148608;7,08154980569438e-05;0,0162964390667404;-0,171224472563237;-0,0493601113365503;1;NA;NA;"9-5";NA;NA
