"ID";"Transect";"Wnum";"Date.Soil";"Date.ti";"Conc.mug.g.dry.soil";"Conc.ComSoil.SD";"Mass.Soil.g";"theta.prct";"N_compsoil";"comp.d13C";"comp.d13C.SD";"N_isoComp";"prctError";"DD13C.comp";"comp.IMP.d13C"
"AW-S-5";"S";5;"03/05/2016 13:10";2016-05-03 13:10:00;3,224764562;0,027161247;5,0501;26,48760348;3;-30,8133333333333;0,417652167878167;3;1,35542676723767;1,43966666666667;-30,8133333333333
"AW-T-5";"T";5;"03/05/2016 13:10";2016-05-03 13:10:00;1,942645207;0,367750969;5,0184;24,87396198;3;-29,8033333333333;0,566068311543168;3;1,89934563765742;2,44966666666667;-29,8033333333333
"AW-N-6";"N";6;"10/05/2016 00:06";2016-05-10 00:06:00;1,285325524;0,019135925;5,0119;16,30330102;3;-29,4133333333333;0,347035060668708;3;1,17985628060531;2,83966666666667;-29,4133333333333
"AW-S-6";"S";6;"10/05/2016 00:06";2016-05-10 00:06:00;2,454447695;0,059438058;5,0581;16,64155533;3;-31,06;0,260576284415907;3;0,83894489509307;1,193;-31,06
"AW-T-6";"T";6;"10/05/2016 00:06";2016-05-10 00:06:00;2,128457231;0,092805925;5,0049;17,84299829;2;-29,35;0,692964645562817;2;2,36103797466036;2,903;-29,35
"AW-N-7";"N";7;"17/05/2016 09:16";2016-05-17 09:16:00;1,750454812;0,313604719;5,0104;20,19358025;NA;NA;NA;NA;NA;NA;-29,48
"AW-S-7";"S";7;"17/05/2016 09:16";2016-05-17 09:16:00;1,779697273;0,040502218;5,0145;34,81724025;3;-29,48;0,599082632030006;3;2,03216632303258;2,773;-29,48
"AW-T-7";"T";7;"17/05/2016 09:16";2016-05-17 09:16:00;0,794915258;0,159470271;5,0149;25,68879469;NA;NA;NA;NA;NA;NA;-29,48
"AW-N-8";"N";8;"24/05/2016 12:00";2016-05-24 12:00:00;1,183860904;0,028442108;4,9984;24,98678075;4;-29,6;0,051639777949433;4;0,174458709288625;2,653;-29,6
"AW-S-8";"S";8;"24/05/2016 12:00";2016-05-24 12:00:00;1,245562032;0,043844607;5,0022;26,30778559;NA;NA;NA;NA;NA;NA;-29,6
"AW-T-8";"T";8;"24/05/2016 12:00";2016-05-24 12:00:00;0,726180171;0,048867199;4,998;27,01578901;NA;NA;NA;NA;NA;NA;-29,6
"AW-N-9";"N";9;"31/05/2016 12:00";2016-05-31 12:00:00;1,001734733;0,035495092;4,9981;25,29898373;NA;NA;NA;NA;NA;NA;-29,5566666666667
"AW-S-9";"S";9;"31/05/2016 12:00";2016-05-31 12:00:00;1,210360454;0,018424565;5,0101;26,79556004;3;-28,6133333333333;0,288848287745198;3;1,0094884240862;3,63966666666667;-28,6133333333333
"AW-T-9";"T";9;"31/05/2016 12:00";2016-05-31 12:00:00;2,231496296;0,067245651;5,0132;29,3286517;3;-30,5;0,200748598998848;3;0,658192127865075;1,753;-30,5
"AW-N-10";"N";10;"07/06/2016 12:00";2016-06-07 12:00:00;1,866402862;0,077662959;5,0129;14,36842271;3;-29,7833333333333;0,193476958145753;3;0,649614856672926;2,46966666666667;-29,7833333333333
"AW-S-10";"S";10;"07/06/2016 12:00";2016-06-07 12:00:00;2,363893981;0,800041607;5,0075;21,36371747;3;-28,9466666666667;0,177857620959389;3;0,614432131365921;3,30633333333333;-28,9466666666667
"AW-T-10";"T";10;"07/06/2016 12:00";2016-06-07 12:00:00;2,589412953;0,205547718;4,9998;17,82215426;3;-29,6933333333333;0,397156560229507;3;1,33752770620624;2,55966666666667;-29,6933333333333
"AW-N-11";"N";11;"14/06/2016 13:06";2016-06-14 13:06:00;1,300052437;0,101761818;5,0502;27,94163772;2;-29,475;0,0636396103067892;2;0,215910467537877;2,778;-29,475
"AW-S-11";"S";11;"14/06/2016 13:06";2016-06-14 13:06:00;0,864562637;0,668999128;5,0083;26,87485105;3;-27,5933333333333;0,484183160935335;3;1,75471065813724;4,65966666666667;-27,5933333333333
"AW-T-11";"T";11;"14/06/2016 13:06";2016-06-14 13:06:00;2,912150122;0,017312609;5,0028;30,38205007;3;-29,87;0,0953939201416935;3;0,319363642924986;2,383;-29,87
"AW-N-12";"N";12;"21/06/2016 12:00";2016-06-21 12:00:00;0,539267143;0,626292978;5,0137;34,33495065;NA;NA;NA;NA;NA;NA;-28,8533333333333
"AW-S-12";"S";12;"21/06/2016 12:00";2016-06-21 12:00:00;0,902910201;0,021019823;4,9981;28,72851026;3;-28,1666666666667;0,393234450847498;3;1,39609864206212;4,08633333333333;-28,1666666666667
"AW-T-12";"T";12;"21/06/2016 12:00";2016-06-21 12:00:00;3,193455428;0,479018314;5,0228;32,78520043;3;-29,54;0,247588368062798;3;0,838146134268104;2,713;-29,54
"AW-N-13";"N";13;"28/06/2016 08:56";2016-06-28 08:56:00;0,356517638;0,111861049;4,9947;18,21121263;1;-29,5;NA;1;NA;2,753;-29,5
"AW-S-13";"S";13;"28/06/2016 08:56";2016-06-28 08:56:00;1,392656465;0,20889847;5,0437;17,72003181;NA;NA;NA;NA;NA;NA;-29,575
"AW-T-13";"T";13;"28/06/2016 08:56";2016-06-28 08:56:00;2,556143693;0,383421554;5,0402;20,19081404;3;-29,65;0,443057558337515;3;1,4942919336847;2,603;-29,65
"AW-N-14";"N";14;"04/07/2016 14:42";2016-07-04 14:42:00;0,811785639;0,101761818;5,1659;7,837371077;2;-28,965;0,403050865276332;2;1,39150997851314;3,288;-28,965
"AW-S-14";"S";14;"04/07/2016 14:42";2016-07-04 14:42:00;1,192365363;0,178854804;5,0243;8,03177187;NA;NA;NA;NA;NA;NA;-28,4325
"AW-T-14";"T";14;"04/07/2016 14:42";2016-07-04 14:42:00;1,851324451;0,277698668;5,165;10,13187783;2;-27,9;0,141421356237309;2;0,506886581495731;4,353;-27,9
"AW-N-15";"N";15;"12/07/2016 01:00";2016-07-12 01:00:00;1,115823402;0,16737351;5,0318;13,93353883;NA;NA;NA;NA;NA;NA;NA
"AW-S-15";"S";15;"12/07/2016 01:00";2016-07-12 01:00:00;1,35450251;0,203175376;5,0093;13,93353883;NA;NA;NA;NA;NA;NA;NA
"AW-T-15";"T";15;"12/07/2016 01:00";2016-07-12 01:00:00;1,530556252;0,229583438;5,0413;13,06254942;NA;NA;NA;NA;NA;NA;NA
