"DayMoYr";"Rain.mm";"CumRain";"Disch.mm";"Month";"CumRain.mm"
2016-06-25;26;400,8;1,96149649958913;"June";400,8
2016-06-26;0,2;401;0,685018174615355;"June";401
2016-06-27;0;401;0,476695455950835;"June";401
2016-06-28;1,2;402,2;0,438640779196459;"June";402,2
2016-06-29;0;402,2;0,370485000221178;"June";402,2
2016-06-30;0;402,2;0,360024219609356;"June";402,2
2016-07-01;0;402,2;0,334066460314628;"July";402,2
2016-07-02;0;402,2;0,298470376621595;"July";402,2
2016-07-03;0;402,2;0,226518061349282;"July";402,2
2016-07-04;0;402,2;0,21710844666902;"July";402,2
2016-07-05;0,2;402,4;0,186525573500712;"July";402,4
2016-07-06;0;402,4;0,147628165784933;"July";402,4
2016-07-07;0;402,4;0,137197103709494;"July";402,4
2016-07-08;0;402,4;0,124390476394927;"July";402,4
2016-07-09;0;402,4;0,119545226265482;"July";402,4
2016-07-10;0;402,4;0,116981642128923;"July";402,4
2016-07-11;6,8;409,2;0,114026408752346;"July";409,2
