"ID";"Transect";"Wnum";"Date.Soil";"Date.ti";"Conc.mug.g.dry.soil";"Conc.ComSoil.SD";"N_compsoil";"comp.d13C";"comp.d13C.SD";"N_isoComp";"prctError";"DD13C.comp";"comp.IMP.d13C";"MassSoil.g";"MassSoil.g.SD";"Area.N";"Area.T";"Area.S"
"AW-S-6";"S";6;"10/05/2016 00:06";2016-05-10 00:06:00;2,454447695;0,059438058;3;-31,06;0,260576284415907;3;0,83894489509307;1,193;-31,06;1120,50204024676;27,1346035985929;101721,702;39247,33;100245,721
"AW-T-6";"T";6;"10/05/2016 00:06";2016-05-10 00:06:00;2,128457231;0,092805925;2;-29,35;0,692964645562817;2;2,36103797466036;2,903;-29,35;380,424143231885;16,5874202172154;101721,702;39247,33;100245,721
"AW-N-7";"N";7;"17/05/2016 09:16";2016-05-17 09:16:00;1,750454812;0,313604719;NA;NA;NA;NA;NA;NA;-29,48;810,881791486825;145,274447885286;101721,702;39247,33;100245,721
"AW-S-7";"S";7;"17/05/2016 09:16";2016-05-17 09:16:00;1,779697273;0,040502218;3;-29,48;0,599082632030006;3;2,03216632303258;2,773;-29,48;812,46564328114;18,4900326032488;101721,702;39247,33;100245,721
"AW-T-7";"T";7;"17/05/2016 09:16";2016-05-17 09:16:00;0,794915258;0,159470271;NA;NA;NA;NA;NA;NA;-29,48;142,077064815874;28,5024948270298;101721,702;39247,33;100245,721
"AW-N-8";"N";8;"24/05/2016 12:00";2016-05-24 12:00:00;1,183860904;0,028442108;4;-29,6;0,051639777949433;4;0,174458709288625;2,653;-29,6;548,412472076275;13,1755400542735;101721,702;39247,33;100245,721
"AW-S-8";"S";8;"24/05/2016 12:00";2016-05-24 12:00:00;1,245562032;0,043844607;NA;NA;NA;NA;NA;NA;-29,6;568,622750019488;20,0158967320415;101721,702;39247,33;100245,721
"AW-T-8";"T";8;"24/05/2016 12:00";2016-05-24 12:00:00;0,726180171;0,048867199;NA;NA;NA;NA;NA;NA;-29,6;129,791881819898;8,73414886658676;101721,702;39247,33;100245,721
"AW-N-9";"N";9;"31/05/2016 12:00";2016-05-31 12:00:00;1,001734733;0,035495092;NA;NA;NA;NA;NA;NA;-29,5566666666667;464,044229717377;16,4427688122175;101721,702;39247,33;100245,721
"AW-S-9";"S";9;"31/05/2016 12:00";2016-05-31 12:00:00;1,210360454;0,018424565;3;-28,6133333333333;0,288848287745198;3;1,0094884240862;3,63966666666667;-28,6133333333333;552,552560359608;8,41116423675061;101721,702;39247,33;100245,721
"AW-T-9";"T";9;"31/05/2016 12:00";2016-05-31 12:00:00;2,231496296;0,067245651;3;-30,5;0,200748598998848;3;0,658192127865075;1,753;-30,5;398,84055651524;12,0189726131948;101721,702;39247,33;100245,721
"AW-N-10";"N";10;"07/06/2016 12:00";2016-06-07 12:00:00;1,866402862;0,077662959;3;-29,7833333333333;0,193476958145753;3;0,649614856672926;2,46966666666667;-29,7833333333333;864,593639321377;35,9766381253421;101721,702;39247,33;100245,721
"AW-S-10";"S";10;"07/06/2016 12:00";2016-06-07 12:00:00;2,363893981;0,800041607;3;-28,9466666666667;0,177857620959389;3;0,614432131365921;3,30633333333333;-28,9466666666667;1079,16254806869;365,234205133792;101721,702;39247,33;100245,721
"AW-T-10";"T";10;"07/06/2016 12:00";2016-06-07 12:00:00;2,589412953;0,205547718;3;-29,6933333333333;0,397156560229507;3;1,33752770620624;2,55966666666667;-29,6933333333333;462,811838439319;36,7380247883493;101721,702;39247,33;100245,721
"AW-N-11";"N";11;"14/06/2016 13:06";2016-06-14 13:06:00;1,300052437;0,101761818;2;-29,475;0,0636396103067892;2;0,215910467537877;2,778;-29,475;602,237111129363;47,1402087726651;101721,702;39247,33;100245,721
"AW-S-11";"S";11;"14/06/2016 13:06";2016-06-14 13:06:00;0,864562637;0,668999128;3;-27,5933333333333;0,484183160935335;3;1,75471065813724;4,65966666666667;-27,5933333333333;394,689282095137;305,410821902766;101721,702;39247,33;100245,721
"AW-T-11";"T";11;"14/06/2016 13:06";2016-06-14 13:06:00;2,912150122;0,017312609;3;-29,87;0,0953939201416935;3;0,319363642924986;2,383;-29,87;520,495408124308;3,0943231322714;101721,702;39247,33;100245,721
"AW-N-12";"N";12;"21/06/2016 12:00";2016-06-21 12:00:00;0,539267143;0,626292978;NA;NA;NA;NA;NA;NA;-28,8533333333333;249,810451551275;290,12435426197;101721,702;39247,33;100245,721
"AW-S-12";"S";12;"21/06/2016 12:00";2016-06-21 12:00:00;0,902910201;0,021019823;3;-28,1666666666667;0,393234450847498;3;1,39609864206212;4,08633333333333;-28,1666666666667;412,195674180015;9,5959488585173;101721,702;39247,33;100245,721
"AW-T-12";"T";12;"21/06/2016 12:00";2016-06-21 12:00:00;3,193455428;0,479018314;3;-29,54;0,247588368062798;3;0,838146134268104;2,713;-29,54;570,773763950775;85,6160645568698;101721,702;39247,33;100245,721
"AW-N-13";"N";13;"28/06/2016 08:56";2016-06-28 08:56:00;0,356517638;0,111861049;1;-29,5;NA;1;NA;2,753;-29,5;165,15345555695;51,8185829127907;101721,702;39247,33;100245,721
"AW-S-13";"S";13;"28/06/2016 08:56";2016-06-28 08:56:00;1,392656465;0,20889847;NA;NA;NA;NA;NA;NA;-29,575;635,774155454282;95,3661234322721;101721,702;39247,33;100245,721
"AW-T-13";"T";13;"28/06/2016 08:56";2016-06-28 08:56:00;2,556143693;0,383421554;3;-29,65;0,443057558337515;3;1,4942919336847;2,603;-29,65;456,865545722169;68,529831867262;101721,702;39247,33;100245,721
"AW-N-14";"N";14;"04/07/2016 14:42";2016-07-04 14:42:00;0,811785639;0,101761818;2;-28,965;0,403050865276332;2;1,39150997851314;3,288;-28,965;376,052091572414;47,1402087726651;101721,702;39247,33;100245,721
"AW-S-14";"S";14;"04/07/2016 14:42";2016-07-04 14:42:00;1,192365363;0,178854804;NA;NA;NA;NA;NA;NA;-28,4325;544,337459169633;81,6506186700114;101721,702;39247,33;100245,721
"AW-T-14";"T";14;"04/07/2016 14:42";2016-07-04 14:42:00;1,851324451;0,277698668;2;-27,9;0,141421356237309;2;0,506886581495731;4,353;-27,9;330,891552744531;49,633732974236;101721,702;39247,33;100245,721
"AW-N-15";"N";15;"12/07/2016 01:00";2016-07-12 01:00:00;1,115823402;0,16737351;NA;NA;NA;NA;NA;NA;NA;516,894736724391;77,5342103696864;101721,702;39247,33;100245,721
"AW-S-15";"S";15;"12/07/2016 01:00";2016-07-12 01:00:00;1,35450251;0,203175376;NA;NA;NA;NA;NA;NA;NA;618,356149559077;92,753422205602;101721,702;39247,33;100245,721
"AW-T-15";"T";15;"12/07/2016 01:00";2016-07-12 01:00:00;1,530556252;0,229583438;NA;NA;NA;NA;NA;NA;NA;273,559901676646;41,0339852872433;101721,702;39247,33;100245,721
